# dispatch trace old vs new
total dispatches: old=11248 new=11244 delta=-4
last complete decode-step block length: old=408 new=408
per-decode-step dispatch delta = 0 -> priced +0.00 us/step at 0.3 us/dispatch

## per-kernel dispatch counts (whole trace)
kernel                                                                      old      new   delta
nvfp4_gather_qmm_rhs_nt_bfloat16_t_gs_16_b_4_bm_16_bn_32_bk_32_wm_1_wn_2_align_M_t_align_N_t_align_K_t      152      152      +0
nvfp4_qmm_t_bfloat16_t_gs_16_b_4_alN_true_batch_0                            76       76      +0
nvfp4_qmm_t_splitk_fused_bfloat16_t_gs_16_b_4_alN_true                      152      152      +0
nvfp4_quantize_bfloat16_t_gs_16_b_4                                         160      160      +0
rmsbfloat16                                                                 332      331      -1
rope_bfloat16_                                                                2        2      +0
rope_float32_                                                                 1        1      +0
rope_freqs_float32_                                                           1        1      +0
rope_single_bfloat16_                                                         2        2      +0
row_reduce_simple_maxuint8                                                   80       80      +0
row_reduce_simple_minuint8                                                   80       80      +0
row_reduce_small_1_reduce_andbool_                                           80       80      +0
row_reduce_small_1_reduce_maxfloat32                                          1        1      +0
s_copybfloat16bfloat16                                                        7        7      +0
s_copyfloat32float32                                                          1        1      +0
sdpa_vector_bfloat16_t_128_128_nomask_qnt_nc_nosinks                         22       22      +0
sn_copybfloat16bfloat16                                                      40       40      +0
ss_Subtractint32                                                            234      234      +0
steel_attention_bfloat16_bq32_bk16_bd128_wm4_wn1_maskbfloat16_align_Q_t_align_K_t_has_mask_n_do_causal_t_has_sinks_n       78       78      +0
steel_gemm_fused_nt_bfloat16_bfloat16_bm64_bn64_bk16_wm2_wn2_has_batch_n_use_out_source_n_do_axpby_n_align_M_t_align_N_t_align_K_t      164      164      +0
steel_gemm_splitk_accum_bfloat16_float32                                    310      310      +0
steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_naligned_K_taligned       20       20      +0
steel_gemm_splitk_nt_bfloat16_float32_bm32_bn32_bk16_wm2_wn2_MN_taligned_K_taligned      290      290      +0
sv_Multiplyfloat32                                                           10       10      +0
sv_Powerfloat32                                                              20       20      +0
sv_Subtractfloat32                                                           20       20      +0
svn_Selectfloat32                                                             1        1      +0
v_copybool_int32                                                            119      119      +0
v_copyint32float32                                                           30       30      +0
v_copyuint8int32                                                            320      320      +0
vn_Absfloat32float32                                                          2        2      +0
vn_Roundfloat32float32                                                        1        1      +0
vn_copybfloat16float32                                                        6        6      +0
vn_copybool_int32                                                           198      198      +0
vn_copyfloat32uint8                                                           1        1      +0
vn_copyint32uint32                                                            1        1      +0
vn_copyint32uint8                                                           161      161      +0
vn_copyuint16uint8                                                           82       82      +0
vn_copyuint32int32                                                            1        1      +0
vn_copyuint32uint8                                                            1        1      +0
vn_copyuint8int32                                                           160      160      +0
vs_Dividefloat32                                                             30       30      +0
vs_Equaluint8                                                                80       80      +0
vs_LessEqualint32                                                            80       80      +0
vs_Maximumfloat32                                                            10       10      +0
vs_Minimumfloat32                                                            10       10      +0
vs_Selectuint8                                                               80       80      +0
vs_Subtractfloat32                                                           10       10      +0
vsn_Addfloat32                                                                1        1      +0
vsn_BitwiseAndint32                                                         160      160      +0
vsn_BitwiseAnduint16                                                        164      164      +0
vsn_BitwiseAnduint32                                                          5        5      +0
vsn_Equalint32                                                                1        1      +0
vsn_GreaterEqualuint32                                                        1        1      +0
vsn_LeftShiftuint32                                                           1        1      +0
vsn_Maximumint32                                                              1        1      +0
vsn_Minimumint32                                                              1        1      +0
vsn_RightShiftint32                                                          80       80      +0
vsn_RightShiftuint16                                                         82       82      +0
vsn_RightShiftuint32                                                          4        4      +0
vsn_RightShiftuint8                                                           1        1      +0
vsn_Subtractint32                                                             1        1      +0
vv_Addfloat32                                                                10       10      +0
vv_Dividefloat32                                                             10       10      +0
vv_LogicalAndbool_                                                           80       80      +0
vv_Multiplyfloat32                                                           30       30      +0
vv_Subtractint32                                                             80       80      +0
vvn_Addbfloat16                                                               2        2      +0
vvn_Addint32                                                                  1        1      +0
vvn_BitwiseOruint16                                                          82       82      +0
vvn_BitwiseOruint32                                                           3        3      +0
vvn_NotEqualuint8                                                            80       80      +0

## kernels with different counts
  custom_kernel_laguna_lmhead_coarse_argmax_stage1_v5_float_float_uint32_t: 8 -> 7 (-1)
  custom_kernel_laguna_lmhead_int5_base_coarse_delta_bf16_v1_bfloat16_t_uint8_t_uint8_t_float_bfloat16_t: 6 -> 5 (-1)
  custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t: 236 -> 0 (-236)
  custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t: 0 -> 236 (+236)
  custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t: 236 -> 235 (-1)
  rmsbfloat16: 332 -> 331 (-1)

## last decode-step block, ordered sequence diff
  positionally aligned; 39 of 408 rows differ
  row 14
    - custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	threads	16384x1x1	512x1x1	0:bfloat16[1,1,2048] 1:bfloat16[1,1,2048] 2:bfloat16[2048] 3:bfloat16[256,2048] 4:float32[256] 5:bfloat16[1,1,2048] 6:bfloat16[1,1,2048] 7:bfloat16[1,1,256] 8:uint32[1,1,256]
    + custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	threads	16384x1x1	512x1x1	0:bfloat16[1,1,2048] 1:bfloat16[1,1,2048] 2:bfloat16[2048] 3:bfloat16[256,2048] 4:float32[256] 5:bfloat16[1,1,2048] 6:bfloat16[1,1,2048] 7:bfloat16[1,1,256] 8:uint32[1,1,256]
  row 24
    - custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	threads	16384x1x1	512x1x1	0:bfloat16[1,1,2048] 1:bfloat16[1,1,2048] 2:bfloat16[2048] 3:bfloat16[256,2048] 4:float32[256] 5:bfloat16[1,1,2048] 6:bfloat16[1,1,2048] 7:bfloat16[1,1,256] 8:uint32[1,1,256]
    + custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	threads	16384x1x1	512x1x1	0:bfloat16[1,1,2048] 1:bfloat16[1,1,2048] 2:bfloat16[2048] 3:bfloat16[256,2048] 4:float32[256] 5:bfloat16[1,1,2048] 6:bfloat16[1,1,2048] 7:bfloat16[1,1,256] 8:uint32[1,1,256]
  ... 37 further differing rows suppressed

## last decode-step block, geometry differences for shared kernel names
  (none)
