# host
device                       Apple M4 Pro
architecture                 applegpu_g16s
maxThreadgroupMemoryLength   32768
recommendedWorkingSetSize    40200896512
k_alu maxThreadsPerTG        1024
k_gemm maxThreadsPerTG       1024
counterSampling.stage        true
counterSampling.dispatch     false
counterSampling.blit         false
rounds=9 targetMs=20.0

# arms
pair,size,arm,wall_ms,busy_sum_ms,busy_union_ms,cbs,cbunion_overlap,cb_layout_ms
gemm/gemm,moe512 M=512 N=4896 K=6768 tg=9792,raw_1cb,40.599,39.890,39.890,1,0.000000,[0.000-39.890]
mem/mem,tg=9792 iters=164,b_only,16.797,16.645,16.645,1,0.000000,[0.000-16.645]
alu/mem,tg=240 alu=200870 mem=18,two_cb,35.948,55.983,35.789,2,0.360714,[0.000-20.199] [0.005-35.789]
mem/mem,tg=2048 iters=19,two_cb,38.668,61.040,38.507,2,0.369157,[0.000-22.572] [0.039-38.507]
alu/mem,tg=10 alu=1564854 mem=9,concurrent_1cb,19.960,19.836,19.836,1,0.000000,[0.000-19.836]
alu/alu,tg=240 iters=200393,barrier_1cb,39.844,39.706,39.706,1,0.000000,[0.000-39.706]
mem/mem,tg=20 iters=16,two_cb_serial,39.158,38.851,38.851,2,0.000000,[0.000-19.730] [19.887-39.008]
alu/mem,tg=2 alu=1565995 mem=2,b_only,19.781,19.632,19.632,1,0.000000,[0.000-19.632]
alu/alu,tg=1000 iters=51113,raw_1cb,39.891,39.750,39.750,1,0.000000,[0.000-39.750]
alu/alu,tg=5 iters=1558694,raw_1cb,39.657,39.514,39.514,1,0.000000,[0.000-39.514]
alu/mem,tg=9792 alu=5340 mem=165,two_cb,35.215,55.845,35.051,2,0.372360,[0.000-20.800] [0.005-35.051]
gemm/gemm,small M=64 N=64 K=660128 tg=16,serialenc_1cb,42.293,41.070,41.070,1,0.000000,[0.000-41.070]
alu/alu,tg=2 iters=1558762,two_cb_serial,39.824,39.517,39.517,2,0.000000,[0.000-19.758] [19.915-39.674]
mem/mem,tg=2048 iters=19,barrier_1cb,38.727,38.554,38.554,1,0.000000,[0.000-38.554]
mem/mem,tg=240 iters=18,b_only,19.527,19.378,19.378,1,0.000000,[0.000-19.378]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,a_only,20.386,19.706,19.706,1,0.000000,[0.000-19.706]
mem/mem,tg=2 iters=2,two_cb_serial,39.806,39.435,39.435,2,0.000000,[0.000-19.727] [19.943-39.651]
alu/alu,tg=40 iters=790993,two_cb,31.221,51.696,31.041,2,0.399555,[0.000-20.661] [0.005-31.041]
alu/mem,tg=10 alu=1564854 mem=9,a_only,21.065,20.896,20.896,1,0.000000,[0.000-20.896]
alu/mem,tg=240 alu=200870 mem=18,raw_1cb,39.933,39.777,39.777,1,0.000000,[0.000-39.777]
alu/alu,tg=20 iters=1543463,concurrent_1cb,40.149,39.997,39.997,1,0.000000,[0.000-39.997]
alu/alu,tg=40 iters=790993,serialenc_1cb,40.021,39.860,39.860,1,0.000000,[0.000-39.860]
mem/mem,tg=9792 iters=164,two_queue,34.481,53.845,34.252,2,0.363877,[0.000-19.610] [0.017-34.252]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,barrier_1cb,39.579,39.383,39.383,1,0.000000,[0.000-39.383]
alu/mem,tg=2 alu=1565995 mem=2,barrier_1cb,39.792,39.619,39.619,1,0.000000,[0.000-39.619]
alu/alu,tg=1000 iters=51113,a_only,19.944,19.785,19.785,1,0.000000,[0.000-19.785]
alu/mem,tg=512 alu=97150 mem=19,b_only,20.155,19.982,19.982,1,0.000000,[0.000-19.982]
alu/mem,tg=512 alu=97150 mem=19,two_cb_serial,40.289,39.946,39.946,2,0.000000,[0.000-19.809] [19.977-40.115]
alu/mem,tg=512 alu=97150 mem=19,serialenc_1cb,40.133,39.966,39.966,1,0.000000,[0.000-39.966]
alu/alu,tg=240 iters=200393,concurrent_1cb,38.737,38.563,38.563,1,0.000000,[0.000-38.563]
mem/mem,tg=512 iters=19,two_queue,40.227,60.024,40.047,2,0.332809,[0.000-19.983] [0.007-40.047]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,b_only,19.826,19.651,19.651,1,0.000000,[0.000-19.651]
mem/mem,tg=9792 iters=164,serialenc_1cb,33.361,33.185,33.185,1,0.000000,[0.000-33.185]
alu/mem,tg=20 alu=1538597 mem=16,serialenc_1cb,39.647,39.465,39.465,1,0.000000,[0.000-39.465]
gemm/gemm,half M=128 N=160 K=572832 tg=80,a_only,22.149,20.291,20.291,1,0.000000,[0.000-20.291]
alu/alu,tg=2 iters=1558762,raw_1cb,39.687,39.519,39.519,1,0.000000,[0.000-39.519]
mem/mem,tg=20 iters=16,barrier_1cb,39.209,39.032,39.032,1,0.000000,[0.000-39.032]
mem/mem,tg=512 iters=19,raw_1cb,40.126,39.958,39.958,1,0.000000,[0.000-39.958]
mem/mem,tg=2 iters=2,b_only,19.969,19.801,19.801,1,0.000000,[0.000-19.801]
alu/mem,tg=2048 alu=25227 mem=19,a_only,20.074,19.884,19.884,1,0.000000,[0.000-19.884]
alu/mem,tg=240 alu=200870 mem=18,concurrent_1cb,36.420,36.251,36.251,1,0.000000,[0.000-36.251]
alu/alu,tg=40 iters=790993,two_cb_serial,40.557,40.237,40.237,2,0.000000,[0.000-20.213] [20.374-40.399]
alu/alu,tg=240 iters=200393,two_cb_serial,40.563,40.230,40.230,2,0.000000,[0.000-20.550] [20.707-40.387]
alu/mem,tg=240 alu=200870 mem=18,serialenc_1cb,39.298,39.122,39.122,1,0.000000,[0.000-39.122]
alu/mem,tg=9792 alu=5340 mem=165,a_only,20.104,19.882,19.882,1,0.000000,[0.000-19.882]
alu/alu,tg=240 iters=200393,raw_1cb,40.099,39.926,39.926,1,0.000000,[0.000-39.926]
mem/mem,tg=2048 iters=19,two_cb_serial,38.749,38.393,38.393,2,0.000000,[0.000-19.241] [19.423-38.574]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,two_cb,39.914,63.671,39.751,2,0.375677,[0.000-23.944] [0.025-39.751]
mem/mem,tg=10 iters=9,a_only,18.605,18.464,18.464,1,0.000000,[0.000-18.464]
mem/mem,tg=240 iters=18,concurrent_1cb,39.019,38.848,38.848,1,0.000000,[0.000-38.848]
mem/mem,tg=240 iters=18,raw_1cb,38.649,38.500,38.500,1,0.000000,[0.000-38.500]
alu/alu,tg=1000 iters=51113,two_queue,39.652,59.598,39.489,2,0.337421,[0.000-20.125] [0.015-39.489]
mem/mem,tg=20 iters=16,concurrent_1cb,19.683,19.524,19.524,1,0.000000,[0.000-19.524]
mem/mem,tg=2 iters=2,barrier_1cb,39.333,39.157,39.157,1,0.000000,[0.000-39.157]
alu/alu,tg=2 iters=1558762,concurrent_1cb,19.914,19.758,19.758,1,0.000000,[0.000-19.758]
alu/alu,tg=240 iters=200393,a_only,20.362,20.209,20.209,1,0.000000,[0.000-20.209]
mem/mem,tg=512 iters=19,concurrent_1cb,40.129,39.959,39.959,1,0.000000,[0.000-39.959]
alu/mem,tg=10 alu=1564854 mem=9,b_only,18.533,18.376,18.376,1,0.000000,[0.000-18.376]
alu/alu,tg=5 iters=1558694,two_cb_serial,39.839,39.515,39.515,2,0.000000,[0.000-19.757] [19.919-39.677]
mem/mem,tg=9792 iters=164,two_cb_serial,33.167,32.848,32.848,2,0.000000,[0.000-16.561] [16.720-33.007]
mem/mem,tg=9792 iters=164,raw_1cb,32.976,32.799,32.799,1,0.000000,[0.000-32.799]
gemm/gemm,half M=128 N=160 K=572832 tg=80,raw_1cb,40.897,39.037,39.037,1,0.000000,[0.000-39.037]
alu/alu,tg=5 iters=1558694,concurrent_1cb,21.191,21.015,21.015,1,0.000000,[0.000-21.015]
alu/alu,tg=2 iters=1558762,two_cb,19.923,39.517,19.764,2,0.499850,[0.000-19.758] [0.006-19.764]
gemm/gemm,small M=64 N=64 K=660128 tg=16,two_cb,38.137,74.278,37.141,2,0.499967,[0.000-37.141] [0.005-37.141]
alu/mem,tg=2048 alu=25227 mem=19,two_cb_serial,39.518,39.178,39.178,2,0.000000,[0.000-19.877] [20.056-39.357]
mem/mem,tg=20 iters=16,two_cb,130.919,261.430,130.717,2,0.499992,[0.000-130.717] [0.004-130.717]
gemm/gemm,half M=128 N=160 K=572832 tg=80,serialenc_1cb,37.506,37.350,37.350,1,0.000000,[0.000-37.350]
alu/mem,tg=2 alu=1565995 mem=2,two_cb_serial,40.011,39.686,39.686,2,0.000000,[0.000-19.850] [20.025-39.860]
alu/alu,tg=1000 iters=51113,serialenc_1cb,40.190,40.013,40.013,1,0.000000,[0.000-40.013]
alu/alu,tg=40 iters=790993,concurrent_1cb,30.958,30.795,30.795,1,0.000000,[0.000-30.795]
alu/alu,tg=10 iters=1563748,serialenc_1cb,41.909,41.730,41.730,1,0.000000,[0.000-41.730]
gemm/gemm,small M=64 N=64 K=660128 tg=16,barrier_1cb,41.278,41.100,41.100,1,0.000000,[0.000-41.100]
gemm/gemm,small M=64 N=64 K=660128 tg=16,raw_1cb,41.202,41.028,41.028,1,0.000000,[0.000-41.028]
alu/alu,tg=10 iters=1563748,b_only,19.986,19.821,19.821,1,0.000000,[0.000-19.821]
gemm/gemm,small M=64 N=64 K=660128 tg=16,a_only,20.653,20.490,20.490,1,0.000000,[0.000-20.490]
alu/mem,tg=512 alu=97150 mem=19,concurrent_1cb,37.776,37.609,37.609,1,0.000000,[0.000-37.609]
alu/alu,tg=20 iters=1543463,b_only,19.765,19.565,19.565,1,0.000000,[0.000-19.565]
alu/alu,tg=5 iters=1558694,a_only,19.950,19.758,19.758,1,0.000000,[0.000-19.758]
alu/alu,tg=10 iters=1563748,barrier_1cb,41.113,40.922,40.922,1,0.000000,[0.000-40.922]
alu/mem,tg=10 alu=1564854 mem=9,two_cb,20.921,39.065,20.730,2,0.469359,[0.000-20.730] [0.026-18.361]
alu/alu,tg=20 iters=1543463,serialenc_1cb,41.223,41.028,41.028,1,0.000000,[0.000-41.028]
mem/mem,tg=512 iters=19,b_only,19.986,19.796,19.796,1,0.000000,[0.000-19.796]
alu/mem,tg=20 alu=1538597 mem=16,concurrent_1cb,20.864,20.675,20.675,1,0.000000,[0.000-20.675]
alu/mem,tg=2048 alu=25227 mem=19,b_only,19.260,19.078,19.078,1,0.000000,[0.000-19.078]
alu/mem,tg=2 alu=1565995 mem=2,serialenc_1cb,39.627,39.467,39.467,1,0.000000,[0.000-39.467]
alu/mem,tg=2048 alu=25227 mem=19,two_cb,38.481,58.138,38.214,2,0.342698,[0.000-19.929] [0.005-38.214]
alu/mem,tg=512 alu=97150 mem=19,two_queue,39.922,59.607,39.733,2,0.333420,[0.000-19.881] [0.007-39.733]
alu/alu,tg=10 iters=1563748,concurrent_1cb,21.249,21.060,21.060,1,0.000000,[0.000-21.060]
alu/mem,tg=512 alu=97150 mem=19,a_only,20.278,20.092,20.092,1,0.000000,[0.000-20.092]
alu/mem,tg=20 alu=1538597 mem=16,two_cb,19.960,39.499,19.780,2,0.499224,[0.000-19.780] [0.006-19.725]
mem/mem,tg=10 iters=9,barrier_1cb,36.804,36.614,36.614,1,0.000000,[0.000-36.614]
mem/mem,tg=2 iters=2,concurrent_1cb,19.606,19.452,19.452,1,0.000000,[0.000-19.452]
alu/mem,tg=10 alu=1564854 mem=9,two_cb_serial,38.514,38.151,38.151,2,0.000000,[0.000-19.836] [20.020-38.336]
alu/mem,tg=240 alu=200870 mem=18,b_only,19.235,19.048,19.048,1,0.000000,[0.000-19.048]
alu/alu,tg=40 iters=790993,barrier_1cb,40.091,39.941,39.941,1,0.000000,[0.000-39.941]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,raw_1cb,39.941,39.280,39.280,1,0.000000,[0.000-39.280]
alu/mem,tg=10 alu=1564854 mem=9,two_queue,20.019,38.238,19.841,2,0.481124,[0.005-19.841] [0.000-18.402]
alu/mem,tg=240 alu=200870 mem=18,two_queue,37.757,56.522,37.597,2,0.334821,[0.026-37.597] [0.000-18.951]
alu/mem,tg=2 alu=1565995 mem=2,two_cb,19.983,39.671,19.850,2,0.499635,[0.000-19.850] [0.005-19.826]
gemm/gemm,moe512 M=512 N=4896 K=6768 tg=9792,concurrent_1cb,40.645,39.883,39.883,1,0.000000,[0.000-39.883]
alu/mem,tg=2048 alu=25227 mem=19,two_queue,29.238,46.876,29.053,2,0.380225,[0.008-29.053] [0.000-17.831]
alu/alu,tg=2 iters=1558762,a_only,19.941,19.759,19.759,1,0.000000,[0.000-19.759]
mem/mem,tg=20 iters=16,serialenc_1cb,38.827,38.652,38.652,1,0.000000,[0.000-38.652]
alu/mem,tg=512 alu=97150 mem=19,raw_1cb,40.105,39.948,39.948,1,0.000000,[0.000-39.948]
alu/alu,tg=2 iters=1558762,two_queue,20.770,40.280,20.526,2,0.490416,[0.005-20.526] [0.000-19.759]
alu/mem,tg=2048 alu=25227 mem=19,concurrent_1cb,38.327,38.137,38.137,1,0.000000,[0.000-38.137]
mem/mem,tg=9792 iters=164,a_only,16.781,16.511,16.511,1,0.000000,[0.000-16.511]
alu/mem,tg=20 alu=1538597 mem=16,two_cb_serial,38.677,38.327,38.327,2,0.000000,[0.000-19.503] [19.685-38.509]
alu/alu,tg=10 iters=1563748,a_only,19.996,19.824,19.824,1,0.000000,[0.000-19.824]
alu/alu,tg=1000 iters=51113,b_only,19.986,19.822,19.822,1,0.000000,[0.000-19.822]
mem/mem,tg=10 iters=9,serialenc_1cb,36.862,36.678,36.678,1,0.000000,[0.000-36.678]
gemm/gemm,moe512 M=512 N=4896 K=6768 tg=9792,barrier_1cb,40.119,39.934,39.934,1,0.000000,[0.000-39.934]
alu/alu,tg=5 iters=1558694,two_queue,19.927,39.516,19.763,2,0.499878,[0.005-19.763] [0.000-19.758]
mem/mem,tg=2 iters=2,two_cb,55.401,110.404,55.205,2,0.499975,[0.000-55.205] [0.006-55.205]
gemm/gemm,small M=64 N=64 K=660128 tg=16,concurrent_1cb,22.564,21.440,21.440,1,0.000000,[0.000-21.440]
mem/mem,tg=512 iters=19,a_only,19.985,19.798,19.798,1,0.000000,[0.000-19.798]
mem/mem,tg=2048 iters=19,concurrent_1cb,38.794,38.617,38.617,1,0.000000,[0.000-38.617]
alu/mem,tg=10 alu=1564854 mem=9,barrier_1cb,38.345,38.160,38.160,1,0.000000,[0.000-38.160]
alu/mem,tg=512 alu=97150 mem=19,barrier_1cb,39.787,39.611,39.611,1,0.000000,[0.000-39.611]
alu/mem,tg=2 alu=1565995 mem=2,two_queue,20.017,39.302,19.855,2,0.494809,[0.005-19.855] [0.000-19.452]
mem/mem,tg=9792 iters=164,concurrent_1cb,33.887,33.071,33.071,1,0.000000,[0.000-33.071]
mem/mem,tg=20 iters=16,two_queue,130.312,260.231,130.118,2,0.499990,[0.005-130.118] [0.000-130.118]
alu/alu,tg=240 iters=200393,two_cb,40.272,60.340,40.085,2,0.335684,[0.000-20.280] [0.025-40.085]
mem/mem,tg=20 iters=16,b_only,19.820,19.648,19.648,1,0.000000,[0.000-19.648]
alu/alu,tg=20 iters=1543463,two_cb,39.613,60.847,39.432,2,0.351941,[0.000-21.419] [0.005-39.432]
gemm/gemm,small M=64 N=64 K=660128 tg=16,two_cb_serial,41.415,41.057,41.057,2,0.000000,[0.000-20.554] [20.745-41.248]
alu/alu,tg=2 iters=1558762,barrier_1cb,39.699,39.520,39.520,1,0.000000,[0.000-39.520]
mem/mem,tg=2048 iters=19,b_only,19.326,19.171,19.171,1,0.000000,[0.000-19.171]
gemm/gemm,moe512 M=512 N=4896 K=6768 tg=9792,a_only,20.121,19.933,19.933,1,0.000000,[0.000-19.933]
mem/mem,tg=20 iters=16,a_only,19.940,19.755,19.755,1,0.000000,[0.000-19.755]
alu/mem,tg=9792 alu=5340 mem=165,raw_1cb,36.937,36.671,36.671,1,0.000000,[0.000-36.671]
mem/mem,tg=240 iters=18,serialenc_1cb,38.275,38.091,38.091,1,0.000000,[0.000-38.091]
mem/mem,tg=2048 iters=19,raw_1cb,38.773,38.587,38.587,1,0.000000,[0.000-38.587]
alu/alu,tg=40 iters=790993,two_queue,31.789,59.375,31.612,2,0.467586,[0.024-31.612] [0.000-27.787]
alu/alu,tg=5 iters=1558694,b_only,19.908,19.764,19.764,1,0.000000,[0.000-19.764]
alu/mem,tg=9792 alu=5340 mem=165,two_cb_serial,37.126,36.772,36.772,2,0.000000,[0.000-19.819] [19.993-36.947]
mem/mem,tg=240 iters=18,two_queue,38.351,57.248,38.182,2,0.333033,[0.026-38.182] [0.000-19.091]
mem/mem,tg=240 iters=18,two_cb,38.341,57.242,38.159,2,0.333371,[0.000-19.090] [0.007-38.159]
alu/mem,tg=2 alu=1565995 mem=2,concurrent_1cb,20.032,19.850,19.850,1,0.000000,[0.000-19.850]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,serialenc_1cb,39.971,39.290,39.290,1,0.000000,[0.000-39.290]
mem/mem,tg=2 iters=2,two_queue,56.149,111.906,55.955,2,0.499977,[0.005-55.955] [0.000-55.955]
alu/mem,tg=10 alu=1564854 mem=9,raw_1cb,38.357,38.167,38.167,1,0.000000,[0.000-38.167]
mem/mem,tg=512 iters=19,two_cb_serial,39.901,39.543,39.543,2,0.000000,[0.000-19.763] [19.960-39.740]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,two_queue,40.375,62.339,40.191,2,0.355281,[0.005-40.191] [0.000-22.152]
alu/mem,tg=9792 alu=5340 mem=165,two_queue,32.159,62.164,31.978,2,0.485590,[0.006-30.192] [0.000-31.978]
mem/mem,tg=512 iters=19,serialenc_1cb,39.737,39.574,39.574,1,0.000000,[0.000-39.574]
gemm/gemm,half M=128 N=160 K=572832 tg=80,b_only,22.560,20.753,20.753,1,0.000000,[0.000-20.753]
mem/mem,tg=10 iters=9,b_only,18.537,18.356,18.356,1,0.000000,[0.000-18.356]
alu/alu,tg=5 iters=1558694,two_cb,19.945,39.515,19.763,2,0.499868,[0.000-19.757] [0.005-19.763]
alu/alu,tg=10 iters=1563748,raw_1cb,39.822,39.646,39.646,1,0.000000,[0.000-39.646]
mem/mem,tg=10 iters=9,two_cb,81.507,162.639,81.322,2,0.499984,[0.000-81.322] [0.005-81.322]
gemm/gemm,small M=64 N=64 K=660128 tg=16,b_only,22.468,21.453,21.453,1,0.000000,[0.000-21.453]
gemm/gemm,half M=128 N=160 K=572832 tg=80,two_queue,36.088,56.544,35.905,2,0.365002,[0.005-35.905] [0.000-20.644]
alu/alu,tg=20 iters=1543463,two_queue,36.509,60.829,36.322,2,0.402889,[0.005-24.512] [0.000-36.322]
mem/mem,tg=2048 iters=19,serialenc_1cb,38.723,38.535,38.535,1,0.000000,[0.000-38.535]
alu/alu,tg=2 iters=1558762,b_only,19.946,19.759,19.759,1,0.000000,[0.000-19.759]
alu/alu,tg=20 iters=1543463,a_only,20.752,20.572,20.572,1,0.000000,[0.000-20.572]
gemm/gemm,moe512 M=512 N=4896 K=6768 tg=9792,two_cb_serial,40.793,39.983,39.983,2,0.000000,[0.000-19.955] [20.184-40.212]
mem/mem,tg=2 iters=2,raw_1cb,39.459,39.282,39.282,1,0.000000,[0.000-39.282]
alu/mem,tg=2048 alu=25227 mem=19,raw_1cb,39.385,39.212,39.212,1,0.000000,[0.000-39.212]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,two_cb_serial,39.649,39.275,39.275,2,0.000000,[0.000-19.616] [19.805-39.464]
mem/mem,tg=240 iters=18,two_cb_serial,38.390,37.989,37.989,2,0.000000,[0.000-18.991] [19.189-38.187]
alu/mem,tg=20 alu=1538597 mem=16,barrier_1cb,39.476,39.285,39.285,1,0.000000,[0.000-39.285]
alu/mem,tg=240 alu=200870 mem=18,barrier_1cb,39.382,39.188,39.188,1,0.000000,[0.000-39.188]
alu/mem,tg=9792 alu=5340 mem=165,barrier_1cb,36.749,36.601,36.601,1,0.000000,[0.000-36.601]
alu/mem,tg=20 alu=1538597 mem=16,two_queue,19.869,39.126,19.737,2,0.495555,[0.000-19.737] [0.006-19.395]
alu/mem,tg=20 alu=1538597 mem=16,raw_1cb,40.256,40.079,40.079,1,0.000000,[0.000-40.079]
alu/mem,tg=2048 alu=25227 mem=19,barrier_1cb,39.121,38.964,38.964,1,0.000000,[0.000-38.964]
gemm/gemm,moe512 M=512 N=4896 K=6768 tg=9792,serialenc_1cb,40.113,39.960,39.960,1,0.000000,[0.000-39.960]
alu/mem,tg=10 alu=1564854 mem=9,serialenc_1cb,38.507,38.362,38.362,1,0.000000,[0.000-38.362]
alu/alu,tg=20 iters=1543463,raw_1cb,40.864,40.667,40.667,1,0.000000,[0.000-40.667]
alu/alu,tg=20 iters=1543463,two_cb_serial,40.141,39.790,39.790,2,0.000000,[0.000-19.782] [19.966-39.973]
alu/mem,tg=20 alu=1538597 mem=16,a_only,19.685,19.503,19.503,1,0.000000,[0.000-19.503]
alu/alu,tg=10 iters=1563748,two_cb_serial,40.943,40.588,40.588,2,0.000000,[0.000-20.171] [20.354-40.771]

# summary: within-round ratios; overlap = 1 - wall(arm)/(wall_a+wall_b);
# overlap_eff = (iso_sum - wall)/(iso_sum - max(wall_a,wall_b))
pair,size,arm,wall_ms_med,iso_sum_ms_med,iso_max_ms_med,overlap_med,overlap_lo,overlap_hi,overlap_eff_med,cb_busy_sum_med,cb_busy_union_med,cb_overlap_med
alu/alu,tg=2 iters=1558762,a_only,19.926,40.027,20.116,0.5003,0.4975,0.5084,1.0011,19.759,19.759,0.000000
