# host
device                       Apple M4 Pro
architecture                 applegpu_g16s
maxThreadgroupMemoryLength   32768
recommendedWorkingSetSize    40200896512
k_alu maxThreadsPerTG        1024
k_gemm maxThreadsPerTG       1024
counterSampling.stage        true
counterSampling.dispatch     false
counterSampling.blit         false
rounds=9 targetMs=20.0

# arms
pair,size,arm,wall_ms,busy_sum_ms,busy_union_ms,cbs,cbunion_overlap,cb_layout_ms
alu/mem,tg=2 alu=1565153 mem=2,barrier_1cb,40.356,40.159,40.159,1,0.000000,[0.000-40.159]
alu/alu,tg=20 iters=1520646,two_queue,30.969,59.675,30.777,2,0.484266,[0.005-28.903] [0.000-30.777]
alu/mem,tg=20 alu=1564873 mem=16,concurrent_1cb,21.102,20.912,20.912,1,0.000000,[0.000-20.912]
alu/alu,tg=5 iters=1398660,a_only,18.135,17.942,17.942,1,0.000000,[0.000-17.942]
mem/mem,tg=20 iters=16,two_cb,130.690,260.970,130.489,2,0.499985,[0.000-130.489] [0.007-130.489]
alu/alu,tg=2 iters=1088090,two_queue,14.022,27.620,13.816,2,0.499793,[0.005-13.816] [0.000-13.809]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,two_queue,40.876,63.388,40.674,2,0.358339,[0.005-40.674] [0.000-22.719]
alu/mem,tg=240 alu=199140 mem=18,a_only,19.745,19.583,19.583,1,0.000000,[0.000-19.583]
alu/alu,tg=5 iters=1398660,two_cb_serial,36.283,35.895,35.895,2,0.000000,[0.000-17.772] [17.980-36.102]
gemm/gemm,small M=64 N=64 K=701296 tg=16,serialenc_1cb,45.599,44.445,44.445,1,0.000000,[0.000-44.445]
mem/mem,tg=2 iters=2,serialenc_1cb,39.487,39.329,39.329,1,0.000000,[0.000-39.329]
gemm/gemm,half M=128 N=160 K=569744 tg=80,two_queue,35.689,58.882,35.482,2,0.397400,[0.005-35.482] [0.000-23.404]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,a_only,19.945,19.740,19.740,1,0.000000,[0.000-19.740]
alu/alu,tg=40 iters=793926,two_cb_serial,38.574,38.177,38.177,2,0.000000,[0.000-18.997] [19.190-38.370]
gemm/gemm,small M=64 N=64 K=701296 tg=16,b_only,22.027,21.819,21.819,1,0.000000,[0.000-21.819]
alu/alu,tg=40 iters=793926,two_queue,31.397,55.215,31.205,2,0.434833,[0.005-24.014] [0.000-31.205]
mem/mem,tg=20 iters=16,two_cb_serial,39.980,39.642,39.642,2,0.000000,[0.000-19.798] [19.946-39.790]
