run_idx,arm,block,step_idx,step_ms,used
1,d2,0,0,9.348708,0
1,d2,0,1,8.278500,0
1,d2,0,2,8.209000,0
1,d2,0,3,8.201584,0
1,d2,0,4,8.195584,0
1,d2,0,5,8.152583,0
1,d2,0,6,8.172583,0
1,d2,0,7,8.184208,0
1,d2,0,8,8.194625,1
1,d2,0,9,8.144625,1
1,d2,0,10,8.195791,1
1,d2,0,11,8.183459,1
1,d2,0,12,8.174917,1
1,d2,0,13,8.170458,1
1,d2,0,14,8.180500,1
1,d2,0,15,8.184708,1
1,d2,0,16,8.227667,1
1,d2,0,17,8.162709,1
1,d2,0,18,8.300792,1
1,d2,0,19,8.132000,1
1,d2,0,20,8.225375,1
1,d2,0,21,8.169334,1
1,d2,0,22,8.244667,1
1,d2,0,23,8.182833,1
1,d2,0,24,8.206375,1
1,d2,0,25,8.174875,1
1,d2,0,26,8.251916,1
1,d2,0,27,8.148667,1
1,d2,0,28,8.199625,1
1,d2,0,29,8.175542,1
1,d2,0,30,8.223209,1
1,d2,0,31,8.182083,1
1,d2,0,32,8.202167,1
1,d2,0,33,8.173125,1
1,d2,0,34,8.195959,1
1,d2,0,35,8.183708,1
1,d2,0,36,8.181750,1
1,d2,0,37,8.114792,1
1,d2,0,38,8.204833,1
1,d2,0,39,8.175417,1
1,d2,0,40,8.180625,1
1,d2,0,41,8.198667,1
1,d2,0,42,8.198167,1
1,d2,0,43,8.164833,1
1,d2,0,44,8.198417,1
1,d2,0,45,8.180875,1
1,d2,0,46,8.200041,1
1,d2,0,47,8.198583,1
1,d2,0,48,8.205542,1
1,d2,0,49,8.161000,1
1,d2,0,50,8.193500,1
1,d2,0,51,8.202208,1
1,d2,0,52,8.180500,1
1,d2,0,53,8.196583,1
1,d2,0,54,8.166500,1
1,d2,0,55,8.177667,1
1,d2,0,56,8.166000,1
1,d2,0,57,8.186083,1
1,d2,0,58,8.172292,1
1,d2,0,59,8.208750,1
1,d2,0,60,8.191125,1
1,d2,0,61,8.165666,1
1,d2,0,62,8.172417,1
1,d2,0,63,8.193334,1
1,d2,0,64,8.194291,1
1,d2,0,65,8.214625,1
1,d2,0,66,8.187042,1
1,d2,0,67,8.204709,1
1,d2,0,68,8.175833,1
1,d2,0,69,8.202083,1
1,d2,0,70,8.168250,1
1,d2,0,71,8.221958,1
1,d2,0,72,8.172500,1
1,d2,0,73,8.236833,1
1,d2,0,74,8.169042,1
1,d2,0,75,8.219500,1
1,d2,0,76,8.174708,1
1,d2,0,77,8.241791,1
1,d2,0,78,8.270292,1
1,d2,0,79,8.251916,1
1,d2,0,80,8.173250,1
1,d2,0,81,8.211416,1
1,d2,0,82,8.181375,1
1,d2,0,83,8.249583,1
1,d2,0,84,8.183875,1
1,d2,0,85,8.229667,1
1,d2,0,86,8.178458,1
1,d2,0,87,8.225583,1
1,d2,0,88,8.183041,1
1,d2,0,89,8.205875,1
1,d2,0,90,8.201792,1
1,d2,0,91,8.307916,1
1,d2,0,92,8.191916,1
1,d2,0,93,8.239667,1
1,d2,0,94,8.200791,1
1,d2,0,95,8.229709,1
1,d2,0,96,8.198167,1
1,d2,0,97,8.221167,1
1,d2,0,98,8.197083,1
1,d2,0,99,8.222292,1
