gate,polarity,declarations,symbols,n_read_sites,overall_class,site,site_class,reason
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Sources/MLXFastCLI/main.swift:1248,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Sources/MLXFastModel/LagunaConfig.swift:316,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5842,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLLM/Models/Laguna.swift:437,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatching/EngineCore.swift:449,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatching/EngineCore.swift:451,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatching/Scheduler.swift:1297,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatching/Scheduler.swift:1301,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatching/Scheduler.swift:1366,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatching/Scheduler.swift:1370,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/Compiled/CompiledDecodeConfigV2.swift:54,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/Compiled/CompiledDecodeConfigV2.swift:59,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/Compiled/CompiledDecodeConfigV2.swift:59,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/Compiled/CompiledDecodeV2.swift:135,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:701,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:705,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:724,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:880,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/ContinuousBatchingV2/EngineLoopV2.swift:888,LIVE,no default-ON gate dominates this site
