gate,polarity,declarations,symbols,n_read_sites,overall_class,site,site_class,reason
DARKBLOOM_FUSED_DENSE_GATE_UP_SWIGLU,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:639,lagunaFusedDenseGateUpSwiGLUEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:9113,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_DENSE_GATE_UP_SWIGLU,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:639,lagunaFusedDenseGateUpSwiGLUEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11857,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_DOWN_ROW_STAGING,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:8227,lagunaFusedDownRowStagingEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:8588,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_FULL_ATTN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:2011,lagunaFusedFullAttentionEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6178,NEEDS-RUNTIME-OBSERVATION,in else-if branch after a chain condition gated by [lagunaFusedSlidingAttentionEnabled] plus extra runtime predicates
DARKBLOOM_FUSED_FULL_ATTN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:2011,lagunaFusedFullAttentionEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeWeights.swift:494,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_FULL_ATTN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:2011,lagunaFusedFullAttentionEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeWeights.swift:500,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_FULL_ATTN_KERNEL_WARMUP,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:2024,lagunaFusedFullAttentionKernelWarmupEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeWeights.swift:501,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_FULL_ATTN_WHOLE_MODEL_WARMUP,default-OFF,Sources/MLXFastModel/LagunaRuntimeModel.swift:2017,lagunaFusedFullAttentionWholeModelWarmupEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeWeights.swift:495,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_FULL_QK_NORM_YARN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:583,lagunaFusedFullQKNormYaRNEnabled,4,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6107,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_FULL_QK_NORM_YARN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:583,lagunaFusedFullQKNormYaRNEnabled,4,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11501,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_FULL_QK_NORM_YARN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:583,lagunaFusedFullQKNormYaRNEnabled,4,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11539,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_FULL_QK_NORM_YARN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:583,lagunaFusedFullQKNormYaRNEnabled,4,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11623,NEEDS-RUNTIME-OBSERVATION,in else branch after a chain condition gated by [lagunaRoPEAngleAtlasEnabled] plus extra runtime predicates
DARKBLOOM_FUSED_GATED_AFFINE_OPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4111,lagunaFusedGatedAffineOProjEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5988,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_GATED_AFFINE_OPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4111,lagunaFusedGatedAffineOProjEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6343,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_GATED_AFFINE_OPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4111,lagunaFusedGatedAffineOProjEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6359,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_GATED_AFFINE_OPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4111,lagunaFusedGatedAffineOProjEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6373,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_GATED_AFFINE_OPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4111,lagunaFusedGatedAffineOProjEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6389,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_GATED_OUTPUT,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:331,lagunaFusedGatedOutputProjectionEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6438,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_GATE_PRODUCT,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:3925,lagunaFusedGateProductEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:3934,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_GATE_PRODUCT,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:3925,lagunaFusedGateProductEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6026,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_NORM_AFFINE_QKV,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:5483,lagunaFusedNormAffineQKVEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5926,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_QKV,default-OFF,Sources/MLXFastModel/LagunaRuntimeModel.swift:114,lagunaFusedQKVEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11844,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_QKV_PROJECTION,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:338,lagunaFusedQKVProjectionEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5896,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_RESIDUAL_RMS,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:275,lagunaFusedResidualRMSNormEnabled,2,NEEDS-RUNTIME-OBSERVATION,Sources/MLXFastModel/LagunaRuntimeModel.swift:11190,NEEDS-RUNTIME-OBSERVATION,in else-if branch after a chain condition gated by [lagunaFusedResidualRMSNormRouterEnabled] plus extra runtime predicates
DARKBLOOM_FUSED_RESIDUAL_RMS,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:275,lagunaFusedResidualRMSNormEnabled,2,NEEDS-RUNTIME-OBSERVATION,Sources/MLXFastModel/LagunaRuntimeModel.swift:11287,NEEDS-RUNTIME-OBSERVATION,in else-if branch after a chain condition gated by [lagunaFusedResidualRMSNormRouterEnabled] plus extra runtime predicates
DARKBLOOM_FUSED_RESIDUAL_RMS_ROUTER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:580,lagunaFusedResidualRMSNormRouterEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11172,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_RESIDUAL_RMS_ROUTER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:580,lagunaFusedResidualRMSNormRouterEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11268,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_ROUTED_DOWN_REDUCE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:199,lagunaFusedRoutedDownReduceEnabled,1,NEEDS-RUNTIME-OBSERVATION,Sources/MLXFastModel/LagunaRuntimeModel.swift:10934,NEEDS-RUNTIME-OBSERVATION,in else-if branch after a chain condition gated by [lagunaFusedRoutedSharedDownResidualEnabled] plus extra runtime predicates
DARKBLOOM_FUSED_ROUTED_GATE_UP,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:217,lagunaFusedRoutedGateUpEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11853,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_ROUTED_SHARED_DOWN_RESIDUAL,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:143,lagunaFusedRoutedSharedDownResidualEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10902,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_ROUTED_SHARED_DOWN_RESIDUAL,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:143,lagunaFusedRoutedSharedDownResidualEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11219,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_ROUTED_SHARED_DOWN_RESIDUAL,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:143,lagunaFusedRoutedSharedDownResidualEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11304,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_ROUTED_SWIGLU_QMV,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:150,lagunaFusedRoutedSwiGLUQMVEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10833,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_ROUTER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:9630,lagunaDecodeRouterTop8Enabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10277,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_ROUTER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:9630,lagunaDecodeRouterTop8Enabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10304,NEEDS-RUNTIME-OBSERVATION,in else branch after a chain condition gated by [lagunaDecodeRouterCastSinkEnabled] plus extra runtime predicates
DARKBLOOM_FUSED_ROUTER_CAST,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:9636,lagunaDecodeRouterCastSinkEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10278,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_ROUTER_NORM,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:9643,lagunaDecodeRouterNormSinkEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10286,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SHARED_DOWN_RESIDUAL,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:137,lagunaFusedSharedDownResidualEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:9055,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SHARED_DOWN_RESIDUAL,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:137,lagunaFusedSharedDownResidualEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11218,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SHARED_DOWN_RESIDUAL,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:137,lagunaFusedSharedDownResidualEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11303,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SHARED_GATE_UP,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:122,lagunaFusedSharedGateUpEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11850,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SHARED_SWIGLU_QMV,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:129,lagunaFusedSharedSwiGLUQMVEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:9015,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SHARED_SWIGLU_QMV,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:129,lagunaFusedSharedSwiGLUQMVEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:9136,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SLIDING_ATTN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:1505,lagunaFusedSlidingAttentionEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6152,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SLIDING_QK_NORM_ROPE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:524,lagunaFusedSlidingQKNormRoPEEnabled,4,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6114,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SLIDING_QK_NORM_ROPE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:524,lagunaFusedSlidingQKNormRoPEEnabled,4,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11502,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SLIDING_QK_NORM_ROPE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:524,lagunaFusedSlidingQKNormRoPEEnabled,4,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11540,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_SLIDING_QK_NORM_ROPE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:524,lagunaFusedSlidingQKNormRoPEEnabled,4,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11630,NEEDS-RUNTIME-OBSERVATION,in else branch after a chain condition gated by [lagunaRoPEAngleAtlasEnabled] plus extra runtime predicates
DARKBLOOM_GATED_AFFINE_OPROJ_NVFP4,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4115,lagunaGatedAffineOProjNVFP4Enabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5989,LIVE,no default-ON gate dominates this site
DARKBLOOM_GATED_AFFINE_OPROJ_NVFP4,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4115,lagunaGatedAffineOProjNVFP4Enabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6374,LIVE,no default-ON gate dominates this site
DARKBLOOM_GATED_AFFINE_OPROJ_NVFP4,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4115,lagunaGatedAffineOProjNVFP4Enabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6390,LIVE,no default-ON gate dominates this site
DARKBLOOM_INVERSE_SCATTER,default-ON,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/SwitchLayers.swift:64,inversePermutationScatterEnabled,1,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/SwitchLayers.swift:294,LIVE,no default-ON gate dominates this site
DARKBLOOM_LAST_PREFILL_PROJECTION_BANKS,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:564,lagunaLastPrefillProjectionBanksEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5805,LIVE,no default-ON gate dominates this site
DARKBLOOM_LAST_PREFILL_PROJECTION_BANKS,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:564,lagunaLastPrefillProjectionBanksEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6496,LIVE,no default-ON gate dominates this site
DARKBLOOM_LMHEAD_FUSED_REFINEMENT,default-ON,Sources/MLXFastModel/LagunaLmHeadPrune.swift:95,lagunaLmHeadFusedRefinementEnabled,1,LIVE,Sources/MLXFastModel/LagunaLmHeadPrune.swift:932,LIVE,no default-ON gate dominates this site
DARKBLOOM_LM_HEAD_PRUNE,default-ON,Sources/MLXFastModel/LagunaLmHeadPrune.swift:79,lagunaLmHeadPruneEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11872,LIVE,no default-ON gate dominates this site
DARKBLOOM_LM_HEAD_PRUNE_PREFILL,default-ON,Sources/MLXFastModel/LagunaLmHeadPrune.swift:86,lagunaLmHeadPrunePrefillEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:11783,LIVE,no default-ON gate dominates this site
DARKBLOOM_NATIVE_AFFINE_GPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:459,lagunaNativeAffineGProjLayerCount,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:466,LIVE,no default-ON gate dominates this site
DARKBLOOM_NATIVE_AFFINE_GPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:459,lagunaNativeAffineGProjLayerCount,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:474,LIVE,no default-ON gate dominates this site
DARKBLOOM_NATIVE_AFFINE_NVFP4,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:3049,lagunaNativeAffineNVFP4From,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:3101,LIVE,no default-ON gate dominates this site
DARKBLOOM_NATIVE_AFFINE_OPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:420,lagunaNativeAffineOProjLayerCount,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:427,LIVE,no default-ON gate dominates this site
DARKBLOOM_NATIVE_AFFINE_OPROJ,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:420,lagunaNativeAffineOProjLayerCount,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:432,LIVE,no default-ON gate dominates this site
DARKBLOOM_NATIVE_AFFINE_QKV,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:347,lagunaNativeAffineQKVLayerCount,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:354,LIVE,no default-ON gate dominates this site
DARKBLOOM_NATIVE_AFFINE_QKV,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:347,lagunaNativeAffineQKVLayerCount,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:401,LIVE,no default-ON gate dominates this site
DARKBLOOM_NATIVE_AFFINE_SUFFIX,default-OFF,Sources/MLXFastModel/LagunaRuntimeModel.swift:366,lagunaNativeAffineSuffixSelection,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:392,LIVE,no default-ON gate dominates this site
DARKBLOOM_NORM_AFFINE_QKV_STAGE,"other(==""tg"")",Sources/MLXFastModel/LagunaRuntimeModel.swift:5206,lagunaNormAffineQKVStaged,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5425,LIVE,no default-ON gate dominates this site
DARKBLOOM_NORM_AFFINE_QKV_STAGE,"other(==""tg"")",Sources/MLXFastModel/LagunaRuntimeModel.swift:5206,lagunaNormAffineQKVStaged,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5449,LIVE,no default-ON gate dominates this site
DARKBLOOM_NORM_AFFINE_QKV_STAGE,"other(==""tg"")",Sources/MLXFastModel/LagunaRuntimeModel.swift:5206,lagunaNormAffineQKVStaged,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5534,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QDOT_SEED_ELIDE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6720,lagunaNvfp4QdotSeedElisionEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6849,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QDOT_SEED_ELIDE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6720,lagunaNvfp4QdotSeedElisionEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6873,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SEED_ELIDE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4159,lagunaNvfp4QmvSeedElisionEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4225,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SEED_ELIDE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4159,lagunaNvfp4QmvSeedElisionEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4426,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SEED_ELIDE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4159,lagunaNvfp4QmvSeedElisionEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4449,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SEED_ELIDE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4159,lagunaNvfp4QmvSeedElisionEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4553,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SEED_ELIDE,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4159,lagunaNvfp4QmvSeedElisionEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4572,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SIGN_CARRY,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4131,lagunaNvfp4QmvSignCarryEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4224,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SIGN_CARRY,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4131,lagunaNvfp4QmvSignCarryEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4425,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SIGN_CARRY,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4131,lagunaNvfp4QmvSignCarryEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4448,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SIGN_CARRY,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4131,lagunaNvfp4QmvSignCarryEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4552,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_QMV_SIGN_CARRY,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4131,lagunaNvfp4QmvSignCarryEnabled,5,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4571,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_CARRY,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6668,lagunaNvfp4ScaleCarry,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6816,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_DEFER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6753,lagunaNvfp4ScaleDeferEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6762,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_DEFER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6753,lagunaNvfp4ScaleDeferEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6773,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_DEFER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6753,lagunaNvfp4ScaleDeferEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6831,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_FOLD,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6606,lagunaNvfp4ScaleFoldEnabled,6,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4230,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_FOLD,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6606,lagunaNvfp4ScaleFoldEnabled,6,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6754,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_FOLD,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6606,lagunaNvfp4ScaleFoldEnabled,6,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6773,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_FOLD,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6606,lagunaNvfp4ScaleFoldEnabled,6,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6776,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_FOLD,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6606,lagunaNvfp4ScaleFoldEnabled,6,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6777,LIVE,no default-ON gate dominates this site
DARKBLOOM_NVFP4_SCALE_FOLD,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:6606,lagunaNvfp4ScaleFoldEnabled,6,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6816,LIVE,no default-ON gate dominates this site
DARKBLOOM_PACKED_SCALES,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:166,lagunaPackedScalesEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10842,LIVE,no default-ON gate dominates this site
DARKBLOOM_PACKED_SCALES,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:166,lagunaPackedScalesEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10872,LIVE,no default-ON gate dominates this site
DARKBLOOM_PACKED_SCALES,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:166,lagunaPackedScalesEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeWeights.swift:1115,LIVE,no default-ON gate dominates this site
DARKBLOOM_PARAMS_ATLAS,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:1999,lagunaParamsAtlasEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:1962,LIVE,no default-ON gate dominates this site
DARKBLOOM_PREFILL_EXPERT_DOWN_PAIRWISE_SCALES,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:232,lagunaPrefillExpertDownPairwiseScalesEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10752,LIVE,no default-ON gate dominates this site
DARKBLOOM_PREFILL_EXPERT_DOWN_PAIRWISE_SCALES,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:232,lagunaPrefillExpertDownPairwiseScalesEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10999,LIVE,no default-ON gate dominates this site
DARKBLOOM_PREFILL_EXPERT_PAIRWISE_SCALES,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:228,lagunaPrefillExpertPairwiseScalesEnabled,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10765,LIVE,no default-ON gate dominates this site
