mlxfast: routehist rows=512 experts=256 assign=4096 zero=12 min=0 p10=3 p25=7 p50=13 p75=23 p90=33 p99=61 max=141 counts=[3, 11, 40, 6, 17, 17, 5, 25, 24, 9, 34, 61, 23, 12, 48, 21, 33, 27, 12, 41, 7, 14, 2, 3, 82, 27, 13, 9, 14, 18, 14, 3, 33, 1, 1, 27, 7, 40, 7, 26, 23, 19, 11, 26, 10, 4, 13, 4, 24, 8, 26, 0, 18, 15, 23, 9, 6, 15, 20, 6, 11, 17, 8, 13, 25, 13, 9, 4, 14, 44, 11, 19, 9, 14, 13, 14, 4, 8, 0, 11, 9, 41, 9, 12, 4, 9, 5, 13, 39, 7, 31, 8, 36, 7, 16, 4, 16, 20, 6, 17, 18, 8, 7, 10, 7, 1, 25, 3, 33, 0, 1, 16, 27, 14, 0, 6, 16, 7, 5, 9, 2, 15, 7, 5, 16, 5, 19, 17, 5, 12, 18, 28, 8, 3, 3, 7, 6, 25, 11, 10, 23, 37, 11, 17, 7, 25, 0, 6, 4, 41, 11, 1, 9, 6, 14, 6, 11, 0, 13, 9, 20, 41, 4, 5, 8, 20, 16, 16, 20, 17, 24, 12, 7, 8, 11, 24, 12, 16, 9, 29, 31, 12, 6, 27, 13, 34, 33, 0, 10, 44, 43, 34, 12, 12, 11, 14, 0, 21, 28, 4, 25, 27, 4, 26, 0, 0, 33, 6, 22, 3, 5, 21, 17, 7, 7, 22, 23, 9, 3, 27, 11, 32, 4, 8, 4, 26, 1, 22, 38, 23, 16, 13, 17, 24, 9, 18, 25, 0, 15, 36, 4, 26, 12, 52, 16, 141, 10, 14, 43, 9, 16, 6, 24, 31, 2, 0]
mlxfast: routehist rows=512 experts=256 assign=4096 zero=5 min=0 p10=4 p25=7 p50=13 p75=23 p90=32 p99=50 max=58 counts=[9, 10, 23, 18, 0, 7, 9, 27, 26, 33, 8, 30, 35, 27, 43, 6, 9, 24, 5, 20, 10, 35, 6, 19, 19, 13, 17, 13, 9, 13, 27, 16, 4, 43, 5, 10, 58, 15, 0, 31, 29, 9, 16, 19, 3, 0, 4, 17, 4, 24, 48, 2, 27, 17, 5, 8, 14, 16, 13, 23, 10, 34, 18, 4, 3, 29, 20, 16, 8, 7, 11, 2, 17, 38, 19, 29, 14, 43, 9, 9, 13, 26, 19, 22, 29, 9, 27, 20, 22, 16, 31, 15, 23, 24, 12, 5, 14, 30, 7, 1, 11, 8, 22, 10, 4, 19, 13, 33, 4, 23, 1, 2, 8, 8, 11, 3, 17, 10, 37, 25, 9, 3, 11, 50, 20, 12, 23, 12, 12, 41, 7, 31, 11, 27, 11, 11, 3, 20, 4, 0, 24, 8, 20, 32, 22, 38, 25, 8, 32, 10, 23, 13, 13, 10, 7, 26, 1, 5, 5, 3, 23, 12, 14, 6, 48, 21, 16, 5, 4, 49, 1, 13, 8, 37, 15, 27, 11, 42, 35, 4, 22, 1, 10, 4, 9, 27, 33, 12, 23, 24, 35, 8, 23, 4, 15, 14, 24, 15, 15, 8, 6, 7, 4, 9, 10, 54, 18, 5, 28, 15, 7, 14, 4, 23, 5, 14, 11, 28, 6, 0, 37, 5, 9, 13, 1, 4, 12, 22, 5, 13, 4, 18, 5, 7, 6, 22, 15, 2, 10, 3, 16, 5, 6, 18, 40, 11, 26, 9, 19, 29, 4, 7, 13, 16, 29, 3]
mlxfast: routehist rows=512 experts=256 assign=4096 zero=19 min=0 p10=1 p25=5 p50=11 p75=21 p90=35 p99=91 max=102 counts=[2, 0, 7, 11, 0, 12, 9, 1, 6, 20, 0, 11, 102, 77, 9, 24, 14, 18, 11, 8, 19, 9, 16, 16, 12, 16, 90, 27, 1, 28, 2, 1, 2, 69, 1, 9, 0, 7, 7, 18, 15, 9, 10, 30, 19, 25, 30, 11, 12, 7, 1, 0, 9, 31, 31, 12, 11, 8, 28, 5, 29, 1, 40, 8, 12, 10, 10, 6, 11, 13, 36, 0, 19, 9, 20, 8, 5, 9, 9, 1, 3, 45, 29, 19, 14, 25, 16, 17, 15, 19, 13, 13, 33, 1, 4, 21, 4, 25, 34, 20, 9, 1, 0, 21, 3, 0, 1, 17, 27, 10, 0, 25, 68, 50, 12, 35, 20, 20, 8, 42, 19, 11, 12, 27, 11, 2, 11, 67, 11, 10, 10, 12, 1, 0, 6, 45, 0, 20, 14, 10, 29, 2, 24, 24, 17, 36, 9, 24, 3, 19, 7, 22, 8, 18, 40, 10, 11, 17, 3, 7, 1, 7, 19, 3, 58, 98, 5, 43, 5, 43, 20, 13, 1, 2, 8, 9, 13, 9, 1, 0, 10, 3, 5, 17, 5, 91, 7, 22, 24, 2, 19, 5, 52, 11, 8, 15, 0, 35, 43, 14, 1, 0, 5, 23, 17, 16, 24, 4, 7, 12, 3, 5, 17, 13, 22, 21, 4, 1, 27, 1, 3, 1, 29, 2, 18, 24, 20, 17, 2, 10, 4, 9, 1, 0, 10, 3, 36, 12, 0, 6, 0, 0, 6, 25, 23, 9, 29, 9, 0, 14, 53, 27, 29, 14, 60, 2]
mlxfast: routehist rows=512 experts=256 assign=4096 zero=33 min=0 p10=0 p25=2 p50=7 p75=16 p90=42 p99=167 max=214 counts=[4, 4, 4, 2, 4, 0, 0, 22, 29, 8, 13, 0, 74, 0, 4, 2, 0, 3, 3, 78, 7, 66, 14, 1, 26, 8, 8, 10, 12, 2, 0, 0, 9, 28, 3, 0, 21, 4, 8, 16, 16, 65, 24, 4, 3, 0, 0, 2, 6, 7, 19, 6, 12, 19, 42, 16, 1, 7, 4, 19, 8, 5, 19, 13, 3, 1, 12, 5, 2, 8, 126, 0, 4, 11, 167, 96, 2, 9, 7, 132, 9, 7, 1, 0, 1, 3, 45, 161, 50, 7, 8, 20, 7, 3, 12, 1, 1, 0, 6, 16, 5, 7, 28, 13, 5, 11, 1, 30, 2, 1, 2, 16, 14, 9, 16, 16, 1, 4, 0, 71, 55, 1, 3, 20, 1, 1, 15, 4, 2, 1, 41, 7, 1, 1, 17, 8, 69, 30, 16, 22, 5, 8, 14, 1, 1, 0, 11, 0, 17, 2, 9, 15, 22, 13, 3, 0, 17, 0, 35, 10, 46, 2, 0, 2, 5, 46, 4, 6, 0, 11, 2, 4, 16, 0, 0, 13, 11, 3, 5, 32, 116, 0, 16, 2, 4, 9, 2, 29, 28, 8, 1, 1, 10, 23, 0, 87, 24, 7, 11, 45, 1, 31, 4, 22, 21, 10, 214, 6, 8, 1, 0, 0, 7, 1, 2, 0, 4, 5, 62, 15, 2, 34, 16, 0, 3, 1, 17, 175, 0, 54, 10, 4, 2, 16, 2, 46, 3, 0, 0, 1, 1, 3, 3, 64, 0, 7, 9, 21, 23, 2, 2, 0, 8, 9, 5, 1]
mlxfast: routehist rows=512 experts=256 assign=4096 zero=20 min=0 p10=1 p25=3 p50=9 p75=20 p90=37 p99=112 max=268 counts=[61, 24, 112, 8, 0, 8, 11, 42, 7, 4, 1, 2, 35, 1, 1, 9, 0, 1, 16, 16, 2, 24, 10, 29, 36, 6, 11, 18, 10, 28, 18, 54, 46, 21, 38, 1, 64, 9, 2, 5, 10, 3, 10, 18, 0, 3, 8, 11, 1, 1, 27, 20, 9, 16, 3, 7, 17, 17, 6, 0, 62, 21, 14, 26, 25, 8, 3, 35, 12, 25, 3, 9, 5, 10, 4, 37, 32, 47, 20, 4, 7, 5, 5, 12, 7, 0, 7, 206, 2, 17, 24, 29, 14, 10, 8, 15, 33, 3, 22, 4, 10, 0, 2, 1, 0, 0, 10, 4, 3, 4, 3, 21, 2, 13, 83, 2, 37, 5, 17, 0, 19, 9, 0, 0, 18, 6, 20, 17, 13, 1, 41, 16, 51, 0, 4, 1, 11, 17, 0, 8, 58, 3, 4, 43, 4, 1, 0, 2, 0, 6, 3, 12, 20, 36, 3, 5, 1, 15, 18, 37, 54, 8, 17, 58, 24, 17, 2, 8, 0, 20, 18, 12, 5, 19, 14, 0, 9, 1, 32, 31, 5, 19, 2, 18, 9, 14, 3, 6, 3, 1, 8, 24, 1, 3, 1, 67, 11, 6, 13, 2, 1, 1, 268, 0, 26, 0, 3, 23, 7, 19, 30, 5, 22, 8, 1, 9, 45, 1, 29, 71, 27, 1, 8, 2, 3, 1, 8, 17, 27, 4, 30, 1, 0, 2, 83, 1, 16, 1, 3, 11, 4, 2, 1, 15, 1, 16, 14, 19, 1, 3, 10, 8, 21, 41, 5, 5]
mlxfast: routehist rows=512 experts=256 assign=4096 zero=26 min=0 p10=0 p25=3 p50=8 p75=21 p90=38 p99=123 max=215 counts=[5, 1, 13, 1, 1, 36, 2, 5, 15, 16, 0, 6, 3, 1, 8, 4, 0, 2, 0, 0, 0, 53, 0, 15, 2, 11, 58, 25, 5, 28, 8, 20, 8, 23, 1, 13, 33, 37, 0, 54, 54, 5, 30, 48, 1, 6, 7, 14, 3, 12, 6, 19, 2, 20, 5, 0, 65, 9, 13, 0, 15, 5, 3, 2, 43, 12, 3, 0, 4, 21, 2, 10, 17, 6, 1, 14, 4, 9, 10, 25, 2, 22, 25, 25, 6, 0, 14, 10, 28, 8, 142, 1, 4, 3, 2, 7, 13, 0, 27, 4, 28, 14, 20, 19, 12, 0, 9, 14, 7, 7, 4, 14, 5, 25, 123, 3, 47, 40, 16, 8, 7, 17, 9, 0, 57, 1, 15, 12, 50, 18, 37, 6, 21, 2, 1, 0, 8, 0, 14, 21, 4, 5, 7, 4, 48, 34, 5, 7, 60, 29, 24, 0, 11, 8, 5, 3, 0, 15, 0, 7, 0, 8, 9, 6, 3, 19, 215, 13, 2, 44, 5, 7, 7, 4, 4, 1, 1, 29, 11, 5, 4, 38, 41, 3, 2, 32, 5, 29, 14, 50, 6, 10, 3, 16, 15, 11, 12, 0, 3, 1, 31, 0, 23, 33, 22, 28, 28, 7, 8, 5, 3, 22, 43, 17, 0, 73, 35, 5, 5, 10, 10, 2, 1, 44, 7, 36, 20, 15, 1, 5, 1, 0, 18, 0, 115, 17, 8, 29, 9, 52, 0, 5, 2, 8, 33, 25, 19, 39, 11, 5, 27, 32, 24, 7, 13, 2]
mlxfast: routehist rows=512 experts=256 assign=4096 zero=33 min=0 p10=0 p25=3 p50=9 p75=18 p90=39 p99=152 max=256 counts=[0, 0, 42, 10, 0, 5, 12, 57, 18, 15, 5, 4, 3, 3, 13, 3, 0, 0, 3, 0, 0, 9, 18, 9, 12, 11, 44, 15, 4, 11, 9, 1, 46, 18, 2, 8, 23, 55, 2, 3, 17, 12, 45, 54, 2, 4, 4, 2, 11, 3, 21, 6, 27, 15, 23, 19, 30, 8, 32, 1, 0, 3, 21, 0, 17, 6, 1, 1, 14, 5, 1, 0, 6, 29, 14, 4, 14, 2, 0, 39, 7, 7, 13, 20, 5, 63, 10, 8, 9, 11, 0, 17, 3, 11, 4, 4, 12, 10, 6, 20, 31, 8, 16, 2, 12, 152, 43, 65, 4, 6, 1, 3, 5, 5, 16, 5, 58, 5, 68, 8, 0, 15, 16, 4, 22, 1, 0, 18, 16, 17, 6, 9, 1, 1, 0, 0, 6, 15, 2, 19, 0, 0, 7, 34, 17, 2, 77, 3, 84, 39, 15, 0, 16, 0, 0, 3, 4, 8, 7, 30, 0, 4, 16, 0, 15, 13, 11, 27, 15, 21, 173, 13, 6, 6, 1, 2, 32, 3, 0, 6, 0, 5, 30, 12, 15, 17, 13, 43, 41, 6, 32, 4, 256, 11, 23, 8, 11, 1, 48, 3, 25, 2, 21, 25, 11, 24, 10, 6, 35, 14, 1, 3, 4, 3, 22, 17, 0, 12, 30, 2, 9, 0, 55, 16, 5, 42, 0, 29, 0, 31, 6, 0, 57, 6, 4, 12, 17, 0, 12, 1, 0, 35, 3, 0, 12, 73, 13, 3, 15, 12, 81, 29, 9, 4, 11, 11]
mlxfast: routehist rows=512 experts=256 assign=4096 zero=27 min=0 p10=0 p25=3 p50=9 p75=20 p90=38 p99=103 max=254 counts=[14, 15, 17, 11, 25, 3, 0, 41, 14, 1, 2, 1, 0, 0, 35, 3, 0, 29, 57, 117, 0, 1, 41, 85, 10, 5, 75, 14, 10, 0, 10, 1, 22, 15, 16, 20, 21, 45, 7, 50, 10, 19, 84, 2, 0, 2, 19, 2, 24, 13, 6, 7, 4, 6, 8, 3, 14, 29, 1, 0, 4, 36, 38, 7, 14, 13, 9, 10, 9, 2, 8, 6, 1, 16, 23, 1, 9, 33, 13, 7, 12, 13, 24, 42, 1, 3, 3, 6, 11, 0, 0, 100, 0, 7, 5, 7, 6, 23, 26, 9, 9, 4, 0, 32, 21, 12, 18, 31, 12, 3, 0, 12, 6, 5, 6, 7, 18, 44, 15, 0, 0, 19, 12, 0, 1, 0, 7, 11, 1, 10, 53, 19, 13, 2, 0, 8, 10, 12, 4, 2, 0, 18, 3, 5, 8, 10, 1, 17, 3, 31, 67, 1, 28, 4, 1, 3, 8, 7, 1, 10, 19, 5, 3, 2, 5, 7, 11, 254, 8, 8, 13, 1, 4, 13, 24, 7, 0, 13, 2, 83, 38, 0, 41, 2, 11, 33, 1, 4, 25, 0, 36, 6, 60, 21, 1, 43, 4, 10, 4, 11, 1, 8, 24, 10, 18, 15, 2, 24, 2, 10, 7, 38, 1, 24, 18, 20, 29, 3, 6, 12, 8, 19, 1, 14, 23, 28, 103, 23, 2, 23, 5, 24, 0, 5, 1, 16, 71, 65, 49, 0, 22, 0, 32, 9, 51, 18, 13, 21, 14, 0, 1, 8, 3, 4, 7, 0]
mlxfast: routehist rows=512 experts=256 assign=4096 zero=22 min=0 p10=1 p25=5 p50=11 p75=21 p90=36 p99=94 max=131 counts=[20, 44, 113, 2, 4, 9, 16, 23, 43, 20, 10, 38, 25, 4, 5, 10, 3, 5, 20, 3, 21, 15, 41, 8, 19, 8, 10, 4, 0, 0, 1, 4, 12, 18, 32, 34, 94, 17, 5, 6, 12, 27, 21, 1, 2, 20, 5, 0, 7, 31, 5, 53, 5, 2, 10, 20, 36, 36, 17, 4, 0, 8, 17, 3, 8, 18, 4, 14, 11, 16, 13, 21, 1, 17, 21, 67, 37, 11, 14, 4, 39, 9, 9, 41, 23, 3, 20, 2, 20, 0, 0, 23, 12, 9, 16, 7, 11, 6, 81, 7, 7, 6, 13, 0, 7, 15, 17, 40, 9, 13, 14, 8, 21, 8, 15, 1, 29, 1, 10, 5, 38, 6, 4, 12, 34, 4, 1, 18, 16, 1, 13, 36, 17, 7, 4, 0, 10, 11, 2, 65, 7, 8, 3, 2, 16, 23, 13, 17, 6, 11, 25, 0, 15, 21, 0, 12, 4, 0, 4, 33, 7, 34, 5, 15, 25, 31, 7, 4, 3, 0, 23, 24, 64, 6, 7, 20, 15, 14, 14, 31, 0, 29, 1, 47, 14, 13, 131, 26, 0, 25, 32, 9, 5, 25, 44, 25, 22, 16, 18, 4, 24, 0, 36, 12, 0, 33, 6, 5, 2, 17, 1, 16, 12, 8, 23, 0, 7, 2, 12, 21, 25, 11, 24, 5, 88, 10, 6, 13, 0, 7, 6, 1, 10, 1, 34, 9, 71, 1, 17, 0, 5, 25, 43, 16, 16, 8, 10, 17, 0, 2, 11, 6, 0, 6, 39, 0]
mlxfast: routehist rows=512 experts=256 assign=4096 zero=30 min=0 p10=0 p25=3 p50=9 p75=21 p90=39 p99=95 max=134 counts=[3, 3, 55, 7, 2, 30, 72, 38, 32, 80, 11, 29, 7, 5, 3, 0, 0, 15, 21, 0, 8, 18, 8, 49, 5, 113, 9, 9, 16, 17, 5, 0, 10, 2, 4, 9, 11, 58, 1, 11, 8, 0, 5, 4, 1, 73, 2, 17, 9, 2, 1, 14, 0, 17, 13, 0, 50, 5, 26, 29, 0, 6, 1, 8, 1, 4, 3, 3, 7, 6, 4, 22, 1, 49, 0, 25, 91, 6, 0, 48, 15, 2, 7, 6, 8, 37, 0, 19, 8, 19, 2, 4, 3, 9, 3, 35, 0, 5, 3, 7, 24, 0, 12, 19, 17, 39, 6, 13, 3, 81, 12, 9, 5, 58, 21, 2, 27, 6, 4, 11, 9, 12, 11, 0, 0, 8, 0, 11, 10, 1, 24, 5, 4, 95, 22, 5, 16, 12, 20, 27, 7, 11, 29, 5, 14, 12, 13, 34, 0, 12, 24, 0, 20, 0, 0, 1, 33, 3, 3, 21, 23, 30, 7, 0, 17, 7, 64, 8, 40, 18, 5, 27, 14, 0, 10, 26, 3, 11, 4, 3, 16, 6, 29, 24, 9, 0, 8, 52, 23, 14, 134, 4, 0, 20, 0, 3, 20, 11, 33, 26, 1, 2, 0, 2, 0, 13, 6, 1, 36, 78, 17, 61, 12, 0, 9, 18, 61, 11, 21, 1, 4, 15, 2, 66, 30, 4, 5, 1, 16, 19, 2, 24, 23, 1, 7, 23, 21, 1, 31, 0, 2, 13, 48, 3, 9, 4, 8, 2, 6, 11, 7, 4, 8, 72, 73, 0]
