name,n,min,max,distinct,rows,row_span_max,blocks,blk_span_max,row_le15,row_le31,blk_le15,blk_le31
L35.q,1048576,1,29,29,8192,21,32768,21,0.997559,1.0,0.999603,1.0
L35.k,131072,1,25,24,1024,21,4096,20,0.985352,1.0,0.996826,1.0
L35.v,131072,3,19,17,1024,15,4096,15,1.0,1.0,1.0,1.0
L35.o,1048576,1,38,32,2048,32,32768,23,0.988281,0.999512,0.999573,1.0
L35.routed.gate_up,33554432,2,32,29,262144,26,1048576,25,0.998913,1.0,0.999722,1.0
L35.routed.down,16777216,1,29,27,524288,21,524288,21,0.999962,1.0,0.999962,1.0
L35.routed.packed,33554432,2,32,29,1048576,25,1048576,25,0.999722,1.0,0.999722,1.0
L35.shared.gate_up,131072,1,31,31,1024,28,4096,28,0.921875,1.0,0.976318,1.0
L35.shared.down,65536,2,35,26,2048,25,2048,25,0.994629,1.0,0.994629,1.0
L36.q,786432,0,24,25,6144,18,24576,18,0.997884,1.0,0.999593,1.0
L36.k,131072,1,21,21,1024,17,4096,17,0.986328,1.0,0.997803,1.0
L36.v,131072,4,20,17,1024,15,4096,14,1.0,1.0,1.0,1.0
L36.o,786432,2,32,31,2048,26,24576,22,0.986328,1.0,0.999064,1.0
L36.routed.gate_up,33554432,2,33,31,262144,27,1048576,26,0.999123,1.0,0.999756,1.0
L36.routed.down,16777216,2,33,30,524288,28,524288,28,0.999939,1.0,0.999939,1.0
L36.routed.packed,33554432,2,33,31,1048576,26,1048576,26,0.999756,1.0,0.999756,1.0
L36.shared.gate_up,131072,1,35,31,1024,33,4096,33,0.94043,0.999023,0.979492,0.999756
L36.shared.down,65536,2,33,23,2048,23,2048,23,0.994141,1.0,0.994141,1.0
L37.q,1048576,0,28,29,8192,20,32768,19,0.99646,1.0,0.999268,1.0
L37.k,131072,1,28,25,1024,24,4096,23,0.986328,1.0,0.996826,1.0
L37.v,131072,3,20,17,1024,17,4096,15,0.999023,1.0,1.0,1.0
L37.o,1048576,2,36,34,2048,29,32768,22,0.975098,1.0,0.999573,1.0
L37.routed.gate_up,33554432,2,34,33,262144,29,1048576,29,0.998753,1.0,0.999692,1.0
L37.routed.down,16777216,2,28,27,524288,24,524288,24,0.99992,1.0,0.99992,1.0
L37.routed.packed,33554432,2,34,33,1048576,29,1048576,29,0.999692,1.0,0.999692,1.0
L37.shared.gate_up,131072,1,31,30,1024,29,4096,29,0.945312,1.0,0.982422,1.0
L37.shared.down,65536,1,32,26,2048,23,2048,23,0.996094,1.0,0.996094,1.0
L38.q,1048576,0,33,30,8192,24,32768,23,0.992065,1.0,0.998474,1.0
L38.k,131072,2,26,25,1024,23,4096,21,0.973633,1.0,0.994629,1.0
L38.v,131072,3,18,16,1024,14,4096,14,1.0,1.0,1.0,1.0
L38.o,1048576,2,33,29,2048,28,32768,22,0.979492,1.0,0.998932,1.0
L38.routed.gate_up,33554432,2,52,51,262144,29,1048576,29,0.998016,1.0,0.999498,1.0
L38.routed.down,16777216,1,41,40,524288,35,524288,35,0.998062,0.999949,0.998062,0.999949
L38.routed.packed,33554432,2,52,51,1048576,29,1048576,29,0.999498,1.0,0.999498,1.0
L38.shared.gate_up,131072,1,33,31,1024,32,4096,31,0.961914,0.999023,0.989014,1.0
L38.shared.down,65536,2,37,26,2048,34,2048,34,0.978027,0.999512,0.978027,0.999512
L39.q,1048576,1,29,28,8192,23,32768,22,0.983276,1.0,0.99588,1.0
L39.k,131072,2,27,26,1024,23,4096,22,0.958984,1.0,0.990967,1.0
L39.v,131072,3,24,22,1024,20,4096,19,0.992188,1.0,0.998047,1.0
L39.o,1048576,1,37,34,2048,33,32768,21,0.972656,0.999512,0.999176,1.0
L39.routed.gate_up,33554432,2,73,57,262144,39,1048576,39,0.997814,0.999969,0.999475,0.999992
L39.routed.down,16777216,2,42,41,524288,34,524288,34,0.996199,0.999989,0.996199,0.999989
L39.routed.packed,33554432,2,73,57,1048576,39,1048576,39,0.999475,0.999992,0.999475,0.999992
L39.shared.gate_up,131072,1,43,34,1024,37,4096,37,0.967773,0.998047,0.991211,0.999512
L39.shared.down,65536,2,41,31,2048,32,2048,32,0.966309,0.999512,0.966309,0.999512
attn.q,39321600,0,35,36,307200,31,1228800,30,0.994395,1.0,0.998465,1.0
attn.k,5242880,0,30,31,40960,25,163840,25,0.986353,1.0,0.996716,1.0
attn.v,5242880,2,26,25,40960,22,163840,22,0.995776,1.0,0.999133,1.0
attn.o,39321600,0,41,42,81920,35,1228800,31,0.981372,0.999854,0.999055,1.0
routed.gate_up,1308622848,2,73,58,10223616,39,40894464,39,0.998359,0.999998,0.999491,1.0
routed.down,654311424,1,42,42,20447232,35,20447232,35,0.999795,0.999998,0.999795,0.999998
routed.packed,1308622848,2,73,58,40894464,39,40894464,39,0.999491,1.0,0.999491,1.0
shared.gate_up,5111808,1,43,38,39936,37,159744,37,0.961113,0.999775,0.987205,0.99995
shared.down,2555904,1,41,40,79872,34,79872,34,0.994028,0.999962,0.994028,0.999962
global,3368353792,0,73,60,72156160,39,105261056,39,0.999338,0.999999,0.999505,0.999999
