order,cycle,position,arm,seconds
ABBA,38,2,candidate,0.001010666
ABBA,38,3,control,0.001003833
ABBA,39,0,control,0.001017125
ABBA,39,1,candidate,0.000999750
ABBA,39,2,candidate,0.001021875
ABBA,39,3,control,0.001010208
ABBA,40,0,control,0.001002584
ABBA,40,1,candidate,0.001014667
ABBA,40,2,candidate,0.001000958
ABBA,40,3,control,0.001001334
ABBA,41,0,control,0.001011875
ABBA,41,1,candidate,0.001021666
ABBA,41,2,candidate,0.000995291
ABBA,41,3,control,0.000992791
ABBA,42,0,control,0.000981250
ABBA,42,1,candidate,0.000992125
ABBA,42,2,candidate,0.000990583
ABBA,42,3,control,0.000981875
ABBA,43,0,control,0.000982250
ABBA,43,1,candidate,0.000983750
ABBA,43,2,candidate,0.000960958
ABBA,43,3,control,0.000950916
ABBA,44,0,control,0.000956667
ABBA,44,1,candidate,0.000987292
ABBA,44,2,candidate,0.000976125
ABBA,44,3,control,0.000981250
ABBA,45,0,control,0.000972125
ABBA,45,1,candidate,0.000985875
ABBA,45,2,candidate,0.000980375
ABBA,45,3,control,0.000990875
ABBA,46,0,control,0.000973958
ABBA,46,1,candidate,0.000986541
ABBA,46,2,candidate,0.001009834
ABBA,46,3,control,0.001002416
ABBA,47,0,control,0.000996334
ABBA,47,1,candidate,0.000993958
ABBA,47,2,candidate,0.001007542
ABBA,47,3,control,0.000993375
ABBA,48,0,control,0.000979375
ABBA,48,1,candidate,0.000994916
ABBA,48,2,candidate,0.000999917
ABBA,48,3,control,0.000988125
ABBA,49,0,control,0.000996542
ABBA,49,1,candidate,0.000996209
ABBA,49,2,candidate,0.000995458
ABBA,49,3,control,0.000990167
ABBA,50,0,control,0.000993959
ABBA,50,1,candidate,0.000986791
ABBA,50,2,candidate,0.001005125
ABBA,50,3,control,0.000988917
ABBA,51,0,control,0.000977334
ABBA,51,1,candidate,0.000998750
ABBA,51,2,candidate,0.000998541
ABBA,51,3,control,0.000991458
ABBA,52,0,control,0.000983875
ABBA,52,1,candidate,0.000983375
ABBA,52,2,candidate,0.001002042
ABBA,52,3,control,0.000984208
ABBA,53,0,control,0.000991458
ABBA,53,1,candidate,0.000984042
ABBA,53,2,candidate,0.001002625
ABBA,53,3,control,0.000984500
ABBA,54,0,control,0.000984208
ABBA,54,1,candidate,0.001007125
ABBA,54,2,candidate,0.000987083
ABBA,54,3,control,0.000993125
ABBA,55,0,control,0.000991458
ABBA,55,1,candidate,0.000986459
ABBA,55,2,candidate,0.001000875
ABBA,55,3,control,0.000994041
ABBA,56,0,control,0.001012000
ABBA,56,1,candidate,0.000993250
ABBA,56,2,candidate,0.001003250
ABBA,56,3,control,0.000978292
ABBA,57,0,control,0.000991750
ABBA,57,1,candidate,0.001007292
ABBA,57,2,candidate,0.000982292
ABBA,57,3,control,0.000992541
ABBA,58,0,control,0.000996209
ABBA,58,1,candidate,0.000982083
ABBA,58,2,candidate,0.001000000
ABBA,58,3,control,0.000992875
ABBA,59,0,control,0.000994875
ABBA,59,1,candidate,0.000996750
ABBA,59,2,candidate,0.000989500
ABBA,59,3,control,0.000976667
ABBA,60,0,control,0.000977041
ABBA,60,1,candidate,0.000991667
ABBA,60,2,candidate,0.001002333
ABBA,60,3,control,0.000984375
ABBA,61,0,control,0.000992250
ABBA,61,1,candidate,0.000982959
ABBA,61,2,candidate,0.000996333
ABBA,61,3,control,0.000989625
ABBA,62,0,control,0.000996250
ABBA,62,1,candidate,0.000997875
ABBA,62,2,candidate,0.000990292
ABBA,62,3,control,0.000989709
ABBA,63,0,control,0.000997041
ABBA,63,1,candidate,0.000980542
ABBA,63,2,candidate,0.000996459
ABBA,63,3,control,0.000969750
BAAB,0,0,candidate,0.000991209
BAAB,0,1,control,0.000997209
BAAB,0,2,control,0.000994417
BAAB,0,3,candidate,0.000975959
BAAB,1,0,candidate,0.001002583
BAAB,1,1,control,0.000988375
BAAB,1,2,control,0.000974166
BAAB,1,3,candidate,0.001006541
BAAB,2,0,candidate,0.000998416
BAAB,2,1,control,0.000984458
BAAB,2,2,control,0.000991666
BAAB,2,3,candidate,0.000991167
BAAB,3,0,candidate,0.000997583
BAAB,3,1,control,0.000987708
BAAB,3,2,control,0.000969875
BAAB,3,3,candidate,0.001005083
BAAB,4,0,candidate,0.000991041
BAAB,4,1,control,0.000992542
BAAB,4,2,control,0.000982916
BAAB,4,3,candidate,0.001003625
BAAB,5,0,candidate,0.000999541
BAAB,5,1,control,0.000988458
BAAB,5,2,control,0.000991792
BAAB,5,3,candidate,0.000986625
BAAB,6,0,candidate,0.001000042
BAAB,6,1,control,0.000993291
BAAB,6,2,control,0.000983500
BAAB,6,3,candidate,0.000999250
BAAB,7,0,candidate,0.000990958
BAAB,7,1,control,0.001002875
BAAB,7,2,control,0.000995500
BAAB,7,3,candidate,0.001007958
BAAB,8,0,candidate,0.000998708
BAAB,8,1,control,0.000993625
BAAB,8,2,control,0.000990833
BAAB,8,3,candidate,0.000998584
BAAB,9,0,candidate,0.000999334
BAAB,9,1,control,0.000977292
BAAB,9,2,control,0.000986458
BAAB,9,3,candidate,0.000997250
BAAB,10,0,candidate,0.000985208
BAAB,10,1,control,0.000991250
BAAB,10,2,control,0.000987875
BAAB,10,3,candidate,0.001002208
BAAB,11,0,candidate,0.000991708
BAAB,11,1,control,0.000975083
BAAB,11,2,control,0.000980125
BAAB,11,3,candidate,0.001005417
BAAB,12,0,candidate,0.000999875
BAAB,12,1,control,0.000975333
BAAB,12,2,control,0.000993000
BAAB,12,3,candidate,0.001002833
BAAB,13,0,candidate,0.000969333
BAAB,13,1,control,0.000995750
BAAB,13,2,control,0.000996667
BAAB,13,3,candidate,0.000988250
BAAB,14,0,candidate,0.001000959
BAAB,14,1,control,0.000993500
BAAB,14,2,control,0.000975875
BAAB,14,3,candidate,0.000997833
BAAB,15,0,candidate,0.000990500
BAAB,15,1,control,0.000978583
BAAB,15,2,control,0.000995042
BAAB,15,3,candidate,0.001005542
BAAB,16,0,candidate,0.000994250
BAAB,16,1,control,0.000994875
BAAB,16,2,control,0.000991333
BAAB,16,3,candidate,0.000976291
BAAB,17,0,candidate,0.001003250
BAAB,17,1,control,0.000992125
BAAB,17,2,control,0.000979875
BAAB,17,3,candidate,0.001005917
BAAB,18,0,candidate,0.001000084
BAAB,18,1,control,0.000996458
BAAB,18,2,control,0.000993291
BAAB,18,3,candidate,0.001013750
BAAB,19,0,candidate,0.000999958
BAAB,19,1,control,0.000992500
BAAB,19,2,control,0.000994667
BAAB,19,3,candidate,0.000979792
BAAB,20,0,candidate,0.000997000
BAAB,20,1,control,0.000995958
BAAB,20,2,control,0.000981333
BAAB,20,3,candidate,0.001007625
BAAB,21,0,candidate,0.000979667
BAAB,21,1,control,0.000990750
BAAB,21,2,control,0.000987208
BAAB,21,3,candidate,0.000987583
BAAB,22,0,candidate,0.000999584
BAAB,22,1,control,0.000983584
BAAB,22,2,control,0.000985958
BAAB,22,3,candidate,0.000979375
BAAB,23,0,candidate,0.001002958
BAAB,23,1,control,0.000986667
BAAB,23,2,control,0.000989583
BAAB,23,3,candidate,0.001001875
BAAB,24,0,candidate,0.000972584
BAAB,24,1,control,0.000975334
BAAB,24,2,control,0.000991083
BAAB,24,3,candidate,0.000988000
BAAB,25,0,candidate,0.001001667
BAAB,25,1,control,0.000991542
BAAB,25,2,control,0.000993959
BAAB,25,3,candidate,0.001001167
BAAB,26,0,candidate,0.000983458
BAAB,26,1,control,0.000974042
BAAB,26,2,control,0.000971375
BAAB,26,3,candidate,0.000988500
BAAB,27,0,candidate,0.000999958
BAAB,27,1,control,0.000993250
BAAB,27,2,control,0.000978958
BAAB,27,3,candidate,0.001000792
BAAB,28,0,candidate,0.000999291
BAAB,28,1,control,0.000982625
BAAB,28,2,control,0.000990083
BAAB,28,3,candidate,0.000993958
BAAB,29,0,candidate,0.001003834
BAAB,29,1,control,0.000992500
BAAB,29,2,control,0.000972708
BAAB,29,3,candidate,0.001009500
BAAB,30,0,candidate,0.000987042
BAAB,30,1,control,0.000971042
BAAB,30,2,control,0.000977792
BAAB,30,3,candidate,0.001003542
BAAB,31,0,candidate,0.000983625
BAAB,31,1,control,0.000988584
BAAB,31,2,control,0.000987958
BAAB,31,3,candidate,0.000980000
BAAB,32,0,candidate,0.000996084
BAAB,32,1,control,0.000984583
BAAB,32,2,control,0.000986042
BAAB,32,3,candidate,0.001002625
BAAB,33,0,candidate,0.000991292
BAAB,33,1,control,0.000993500
BAAB,33,2,control,0.000981750
BAAB,33,3,candidate,0.001037583
BAAB,34,0,candidate,0.000984833
BAAB,34,1,control,0.000991583
BAAB,34,2,control,0.000971875
BAAB,34,3,candidate,0.001001250
BAAB,35,0,candidate,0.000960875
BAAB,35,1,control,0.000954084
BAAB,35,2,control,0.000953250
BAAB,35,3,candidate,0.000963500
BAAB,36,0,candidate,0.000965542
BAAB,36,1,control,0.000952500
BAAB,36,2,control,0.000953333
BAAB,36,3,candidate,0.000965625
BAAB,37,0,candidate,0.000965708
BAAB,37,1,control,0.000953333
BAAB,37,2,control,0.000961625
BAAB,37,3,candidate,0.000981875
BAAB,38,0,candidate,0.000979000
BAAB,38,1,control,0.000969417
BAAB,38,2,control,0.000970791
BAAB,38,3,candidate,0.000981792
BAAB,39,0,candidate,0.000981542
BAAB,39,1,control,0.000978834
BAAB,39,2,control,0.000999375
BAAB,39,3,candidate,0.001015042
BAAB,40,0,candidate,0.001013125
BAAB,40,1,control,0.000978708
BAAB,40,2,control,0.000986375
