stage,block,order,arm,token_index,step_us
confirm,C3,ABBA,ctl,27,8216.0
confirm,C3,ABBA,ctl,28,8202.0
confirm,C3,ABBA,ctl,29,8152.0
confirm,C3,ABBA,ctl,30,8273.0
confirm,C3,ABBA,qmvsc0,16,8160.0
confirm,C3,ABBA,qmvsc0,17,8152.0
confirm,C3,ABBA,qmvsc0,18,8179.0
confirm,C3,ABBA,qmvsc0,19,8200.0
confirm,C3,ABBA,qmvsc0,20,8233.0
confirm,C3,ABBA,qmvsc0,21,8239.0
confirm,C3,ABBA,qmvsc0,22,8148.0
confirm,C3,ABBA,qmvsc0,23,8234.0
confirm,C3,ABBA,qmvsc0,24,8189.0
confirm,C3,ABBA,qmvsc0,25,8130.0
confirm,C3,ABBA,qmvsc0,26,8167.0
confirm,C3,ABBA,qmvsc0,27,8155.0
confirm,C3,ABBA,qmvsc0,28,8167.0
confirm,C3,ABBA,qmvsc0,29,8198.0
confirm,C3,ABBA,qmvsc0,30,8193.0
confirm,C3,ABBA,qmvse0,16,8194.0
confirm,C3,ABBA,qmvse0,17,8148.0
confirm,C3,ABBA,qmvse0,18,8080.0
confirm,C3,ABBA,qmvse0,19,8269.0
confirm,C3,ABBA,qmvse0,20,8249.0
confirm,C3,ABBA,qmvse0,21,8200.0
confirm,C3,ABBA,qmvse0,22,8174.0
confirm,C3,ABBA,qmvse0,23,8177.0
confirm,C3,ABBA,qmvse0,24,8158.0
confirm,C3,ABBA,qmvse0,25,8177.0
confirm,C3,ABBA,qmvse0,26,8182.0
confirm,C3,ABBA,qmvse0,27,8242.0
confirm,C3,ABBA,qmvse0,28,8234.0
confirm,C3,ABBA,qmvse0,29,8224.0
confirm,C3,ABBA,qmvse0,30,8252.0
confirm,C3,ABBA,sc0,16,8145.0
confirm,C3,ABBA,sc0,17,8166.0
confirm,C3,ABBA,sc0,18,8172.0
confirm,C3,ABBA,sc0,19,8191.0
confirm,C3,ABBA,sc0,20,8199.0
confirm,C3,ABBA,sc0,21,8242.0
confirm,C3,ABBA,sc0,22,8236.0
confirm,C3,ABBA,sc0,23,8226.0
confirm,C3,ABBA,sc0,24,8196.0
confirm,C3,ABBA,sc0,25,8252.0
confirm,C3,ABBA,sc0,26,8151.0
confirm,C3,ABBA,sc0,27,8175.0
confirm,C3,ABBA,sc0,28,8200.0
confirm,C3,ABBA,sc0,29,8222.0
confirm,C3,ABBA,sc0,30,8178.0
confirm,C4,BAAB,ctl,16,8168.0
confirm,C4,BAAB,ctl,17,8159.0
confirm,C4,BAAB,ctl,18,8195.0
confirm,C4,BAAB,ctl,19,8209.0
confirm,C4,BAAB,ctl,20,8166.0
confirm,C4,BAAB,ctl,21,8212.0
confirm,C4,BAAB,ctl,22,8215.0
confirm,C4,BAAB,ctl,23,8187.0
confirm,C4,BAAB,ctl,24,8367.0
confirm,C4,BAAB,ctl,25,8199.0
confirm,C4,BAAB,ctl,26,8184.0
confirm,C4,BAAB,ctl,27,8193.0
confirm,C4,BAAB,ctl,28,8312.0
confirm,C4,BAAB,ctl,29,8190.0
confirm,C4,BAAB,ctl,30,8198.0
confirm,C4,BAAB,qmvsc0,16,8209.0
confirm,C4,BAAB,qmvsc0,17,8290.0
confirm,C4,BAAB,qmvsc0,18,8222.0
confirm,C4,BAAB,qmvsc0,19,8191.0
confirm,C4,BAAB,qmvsc0,20,8186.0
confirm,C4,BAAB,qmvsc0,21,8167.0
confirm,C4,BAAB,qmvsc0,22,8139.0
confirm,C4,BAAB,qmvsc0,23,8183.0
confirm,C4,BAAB,qmvsc0,24,8169.0
confirm,C4,BAAB,qmvsc0,25,8175.0
confirm,C4,BAAB,qmvsc0,26,8212.0
confirm,C4,BAAB,qmvsc0,27,8178.0
confirm,C4,BAAB,qmvsc0,28,8196.0
confirm,C4,BAAB,qmvsc0,29,8215.0
confirm,C4,BAAB,qmvsc0,30,8176.0
confirm,C4,BAAB,qmvse0,16,8297.0
confirm,C4,BAAB,qmvse0,17,8264.0
confirm,C4,BAAB,qmvse0,18,8210.0
confirm,C4,BAAB,qmvse0,19,8187.0
confirm,C4,BAAB,qmvse0,20,8194.0
confirm,C4,BAAB,qmvse0,21,8192.0
confirm,C4,BAAB,qmvse0,22,8185.0
confirm,C4,BAAB,qmvse0,23,8185.0
confirm,C4,BAAB,qmvse0,24,8166.0
confirm,C4,BAAB,qmvse0,25,8188.0
confirm,C4,BAAB,qmvse0,26,8224.0
confirm,C4,BAAB,qmvse0,27,8241.0
confirm,C4,BAAB,qmvse0,28,8263.0
confirm,C4,BAAB,qmvse0,29,8262.0
confirm,C4,BAAB,qmvse0,30,8254.0
confirm,C4,BAAB,sc0,16,8165.0
confirm,C4,BAAB,sc0,17,8159.0
confirm,C4,BAAB,sc0,18,8172.0
confirm,C4,BAAB,sc0,19,8161.0
confirm,C4,BAAB,sc0,20,8178.0
confirm,C4,BAAB,sc0,21,8198.0
confirm,C4,BAAB,sc0,22,8183.0
confirm,C4,BAAB,sc0,23,8195.0
confirm,C4,BAAB,sc0,24,8239.0
confirm,C4,BAAB,sc0,25,8237.0
confirm,C4,BAAB,sc0,26,8229.0
confirm,C4,BAAB,sc0,27,8232.0
confirm,C4,BAAB,sc0,28,8214.0
confirm,C4,BAAB,sc0,29,8208.0
confirm,C4,BAAB,sc0,30,8198.0
confirm,C5,ABBA,ctl,16,8161.0
confirm,C5,ABBA,ctl,17,8152.0
confirm,C5,ABBA,ctl,18,8158.0
confirm,C5,ABBA,ctl,19,8187.0
confirm,C5,ABBA,ctl,20,8164.0
confirm,C5,ABBA,ctl,21,8165.0
confirm,C5,ABBA,ctl,22,8164.0
confirm,C5,ABBA,ctl,23,8212.0
confirm,C5,ABBA,ctl,24,8226.0
confirm,C5,ABBA,ctl,25,8231.0
confirm,C5,ABBA,ctl,26,8233.0
confirm,C5,ABBA,ctl,27,8371.0
confirm,C5,ABBA,ctl,28,8183.0
confirm,C5,ABBA,ctl,29,8171.0
confirm,C5,ABBA,ctl,30,8181.0
confirm,C5,ABBA,qmvsc0,16,8136.0
confirm,C5,ABBA,qmvsc0,17,8146.0
confirm,C5,ABBA,qmvsc0,18,8156.0
confirm,C5,ABBA,qmvsc0,19,8150.0
confirm,C5,ABBA,qmvsc0,20,8178.0
confirm,C5,ABBA,qmvsc0,21,8199.0
confirm,C5,ABBA,qmvsc0,22,8220.0
confirm,C5,ABBA,qmvsc0,23,8233.0
confirm,C5,ABBA,qmvsc0,24,8234.0
confirm,C5,ABBA,qmvsc0,25,8192.0
confirm,C5,ABBA,qmvsc0,26,8153.0
confirm,C5,ABBA,qmvsc0,27,8203.0
confirm,C5,ABBA,qmvsc0,28,8398.0
confirm,C5,ABBA,qmvsc0,29,8175.0
confirm,C5,ABBA,qmvsc0,30,8197.0
confirm,C5,ABBA,qmvse0,16,8209.0
confirm,C5,ABBA,qmvse0,17,8216.0
confirm,C5,ABBA,qmvse0,18,8229.0
confirm,C5,ABBA,qmvse0,19,8253.0
confirm,C5,ABBA,qmvse0,20,8189.0
confirm,C5,ABBA,qmvse0,21,8182.0
confirm,C5,ABBA,qmvse0,22,8179.0
confirm,C5,ABBA,qmvse0,23,8181.0
confirm,C5,ABBA,qmvse0,24,8226.0
confirm,C5,ABBA,qmvse0,25,8192.0
confirm,C5,ABBA,qmvse0,26,8211.0
confirm,C5,ABBA,qmvse0,27,8243.0
confirm,C5,ABBA,qmvse0,28,8193.0
confirm,C5,ABBA,qmvse0,29,8206.0
confirm,C5,ABBA,qmvse0,30,8197.0
confirm,C5,ABBA,sc0,16,8179.0
confirm,C5,ABBA,sc0,17,8162.0
confirm,C5,ABBA,sc0,18,8176.0
confirm,C5,ABBA,sc0,19,8187.0
confirm,C5,ABBA,sc0,20,8190.0
confirm,C5,ABBA,sc0,21,8167.0
confirm,C5,ABBA,sc0,22,8211.0
confirm,C5,ABBA,sc0,23,8275.0
confirm,C5,ABBA,sc0,24,8230.0
confirm,C5,ABBA,sc0,25,8229.0
confirm,C5,ABBA,sc0,26,8242.0
confirm,C5,ABBA,sc0,27,8253.0
confirm,C5,ABBA,sc0,28,8194.0
confirm,C5,ABBA,sc0,29,8212.0
confirm,C5,ABBA,sc0,30,8194.0
confirm,C6,BAAB,ctl,16,8374.0
confirm,C6,BAAB,ctl,17,8209.0
confirm,C6,BAAB,ctl,18,8189.0
confirm,C6,BAAB,ctl,19,8158.0
confirm,C6,BAAB,ctl,20,8174.0
confirm,C6,BAAB,ctl,21,8151.0
confirm,C6,BAAB,ctl,22,8175.0
confirm,C6,BAAB,ctl,23,8190.0
confirm,C6,BAAB,ctl,24,8203.0
confirm,C6,BAAB,ctl,25,8167.0
confirm,C6,BAAB,ctl,26,8222.0
confirm,C6,BAAB,ctl,27,8188.0
confirm,C6,BAAB,ctl,28,8199.0
confirm,C6,BAAB,ctl,29,8192.0
confirm,C6,BAAB,ctl,30,8230.0
confirm,C6,BAAB,qmvsc0,16,8172.0
confirm,C6,BAAB,qmvsc0,17,8258.0
confirm,C6,BAAB,qmvsc0,18,8231.0
confirm,C6,BAAB,qmvsc0,19,8222.0
confirm,C6,BAAB,qmvsc0,20,8147.0
confirm,C6,BAAB,qmvsc0,21,8275.0
confirm,C6,BAAB,qmvsc0,22,8188.0
confirm,C6,BAAB,qmvsc0,23,8175.0
confirm,C6,BAAB,qmvsc0,24,8337.0
confirm,C6,BAAB,qmvsc0,25,8238.0
confirm,C6,BAAB,qmvsc0,26,8249.0
confirm,C6,BAAB,qmvsc0,27,8223.0
confirm,C6,BAAB,qmvsc0,28,8342.0
confirm,C6,BAAB,qmvsc0,29,8271.0
confirm,C6,BAAB,qmvsc0,30,8307.0
confirm,C6,BAAB,qmvse0,16,8166.0
confirm,C6,BAAB,qmvse0,17,8299.0
